"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2007,2,27,"CO","IAH","MCO",14,25,853,NA
"2",2007,2,1,"WN","BWI","MCO",-5,15,787,NA
"3",2007,2,20,"EV","DCA","JAN",-5,5,860,NA
"4",2007,2,25,"OH","RDU","LGA",-5,-19,431,NA
"5",2007,2,5,"UA","IAD","ORD",17,6,589,NA
"6",2007,2,7,"NW","MKE","MSP",-3,-10,297,NA
"7",2007,2,8,"AS","SEA","PHX",-11,-10,1107,NA
"8",2007,2,24,"AS","SAN","SEA",-8,20,1050,NA
"9",2007,2,20,"XE","IAH","ICT",31,21,542,NA
"10",2007,2,15,"AA","MSP","DFW",-3,-20,852,NA
"11",2007,2,24,"YV","ORD","MHT",35,23,843,NA
"12",2007,2,6,"WN","MDW","CLE",11,3,307,NA
"13",2007,2,12,"US","PHX","SAT",84,75,843,NA
"14",2007,2,25,"XE","IAH","GSP",8,-9,838,NA
"15",2007,2,20,"OO","SLC","SAN",-5,-10,626,NA
"16",2007,2,26,"NW","GRR","DTW",-1,4,120,NA
"17",2007,2,15,"DL","ATL","GSO",22,11,306,NA
"18",2007,2,16,"DL","ATL","SNA",46,44,1919,NA
"19",2007,2,6,"AA","SNA","ORD",-3,84,1726,NA
"20",2007,2,26,"YV","LAS","PSP",0,13,173,NA
"21",2007,2,16,"MQ","ORD","CMH",-3,19,296,NA
"22",2007,2,20,"AA","LGA","MIA",0,0,1097,NA
"23",2007,2,8,"WN","PHX","MDW",9,-9,1444,NA
"24",2007,2,2,"YV","ROC","ORD",1,3,528,NA
"25",2007,2,5,"AS","SFO","SEA",-2,-19,679,NA
"26",2007,2,9,"MQ","AUS","DAL",-7,-5,189,NA
"27",2007,2,2,"XE","ORF","IAH",0,65,1201,NA
"28",2007,2,8,"DL","BOS","SLC",-5,9,2105,NA
"29",2007,2,23,"WN","PHX","LAX",4,-1,370,NA
"30",2007,2,10,"F9","SLC","DEN",22,6,390,NA
"31",2007,2,15,"MQ","LAS","LAX",12,7,236,NA
"32",2007,2,22,"XE","DAL","IAH",1,2,217,NA
"33",2007,2,7,"OO","SDF","ORD",0,-9,286,NA
"34",2007,2,18,"MQ","SAN","LAX",-5,-8,109,NA
"35",2007,2,13,"CO","FLL","EWR",11,0,1065,NA
"36",2007,2,12,"UA","ORD","BDL",0,-1,783,NA
"37",2007,2,2,"AA","BDL","MIA",-3,16,1194,NA
"38",2007,2,6,"EV","CVG","DFW",2,-14,812,NA
"39",2007,2,26,"US","CLT","BWI",1,-13,361,NA
"40",2007,2,1,"FL","MDW","CLT",-6,12,584,NA
"41",2007,2,13,"MQ","DFW","SGF",-6,-12,364,NA
"42",2007,2,12,"XE","EWR","BDL",7,-3,115,NA
"43",2007,2,25,"B6","JFK","BOS",58,76,187,NA
"44",2007,2,7,"DL","ATL","LAX",1,13,1946,NA
"45",2007,2,3,"OO","SFO","SMF",-3,-8,86,NA
"46",2007,2,15,"XE","EWR","PVD",2,37,160,NA
"47",2007,2,4,"YV","IAD","BOS",8,3,413,NA
"48",2007,2,3,"OO","ORD","ASE",12,-11,1013,NA
"49",2007,2,22,"WN","BWI","ALB",17,13,288,NA
"50",2007,2,10,"AS","BOS","SEA",-12,-15,2496,NA
"51",2007,2,9,"DL","DCA","CVG",-3,-9,411,NA
"52",2007,2,18,"EV","MCN","ATL",0,22,79,NA
"53",2007,2,15,"MQ","ORD","OMA",43,37,416,NA
"54",2007,2,2,"EV","BTR","ATL",84,85,449,NA
"55",2007,2,4,"XE","IAH","RDU",-2,-21,1043,NA
"56",2007,2,9,"DL","ATL","RIC",-3,-8,481,NA
"57",2007,2,15,"OO","ACV","SFO",-3,-8,250,NA
"58",2007,2,20,"WN","MHT","TPA",-4,-8,1204,NA
"59",2007,2,18,"WN","SDF","PHX",1,-15,1506,NA
"60",2007,2,20,"FL","BWI","SRQ",-6,-15,880,NA
"61",2007,2,17,"OH","BUF","CVG",15,23,410,NA
"62",2007,2,8,"OO","MRY","SFO",3,0,77,NA
"63",2007,2,3,"NW","MSP","IAH",-3,-22,1034,NA
"64",2007,2,16,"WN","BNA","LAS",6,-4,1588,NA
"65",2007,2,22,"UA","MCI","DEN",-7,-6,533,NA
"66",2007,2,17,"OO","LAX","SAN",0,0,109,NA
"67",2007,2,14,"WN","AUS","LBB",-2,1,341,NA
"68",2007,2,4,"FL","ATL","LAX",29,11,1946,NA
"69",2007,2,12,"US","FLL","DCA",13,12,899,NA
"70",2007,2,11,"US","LAS","MSP",-2,-9,1300,NA
"71",2007,2,17,"WN","ELP","PHX",0,-11,347,NA
"72",2007,2,2,"YV","PHX","COS",0,2,551,NA
"73",2007,2,25,"WN","TUS","ABQ",2,-3,321,NA
"74",2007,2,25,"CO","IAH","LAX",0,-1,1379,NA
"75",2007,2,8,"CO","IAH","LAS",-6,-13,1222,NA
"76",2007,2,28,"9E","IND","BOS",-5,-10,817,NA
"77",2007,2,6,"WN","PHX","SMF",-4,-25,647,NA
"78",2007,2,2,"WN","MCI","STL",25,17,237,NA
"79",2007,2,7,"US","ILM","CLT",-11,1,185,NA
"80",2007,2,24,"AS","ORD","SEA",NA,NA,1721,NA
"81",2007,2,8,"EV","EVV","ATL",26,20,350,NA
"82",2007,2,6,"OO","SLC","SUN",-2,-1,223,NA
"83",2007,2,24,"UA","PHL","DEN",-8,-34,1557,NA
"84",2007,2,19,"NW","DEN","MSP",-2,2,680,NA
"85",2007,2,19,"DL","DCA","ATL",8,-3,547,NA
"86",2007,2,21,"OO","LAX","BOI",-2,-17,674,NA
"87",2007,2,26,"US","PHX","ATL",-1,-15,1587,NA
"88",2007,2,3,"US","BWI","CLT",7,27,361,NA
"89",2007,2,26,"XE","CLE","DCA",32,29,310,NA
"90",2007,2,19,"B6","MCO","BOS",-1,-5,1121,NA
"91",2007,2,14,"UA","LAX","PHL",57,54,2401,NA
"92",2007,2,12,"MQ","SGF","ORD",0,24,438,NA
"93",2007,2,9,"US","CLT","BOS",11,9,728,NA
"94",2007,2,27,"WN","LAX","MDW",NA,NA,1751,NA
"95",2007,2,12,"OH","CVG","DCA",NA,NA,411,NA
"96",2007,2,5,"US","CLT","JAX",36,36,329,NA
"97",2007,2,8,"AA","BDL","DFW",1,-3,1471,NA
"98",2007,2,22,"MQ","ORD","CMH",11,16,296,NA
"99",2007,2,24,"WN","TUS","LAX",0,9,451,NA
"100",2007,2,5,"DL","CVG","SNA",17,7,1877,NA
"101",2007,2,16,"UA","LIH","SFO",-6,15,2447,NA
"102",2007,2,16,"YV","PSP","PHX",0,5,261,NA
"103",2007,2,24,"WN","OAK","LAX",1,-7,337,NA
"104",2007,2,11,"OO","LAX","SAN",-4,-2,109,NA
"105",2007,2,19,"XE","IAH","CRP",-2,-3,201,NA
"106",2007,2,11,"DL","LGA","DCA",-1,-2,214,NA
"107",2007,2,7,"DL","SJU","ATL",-5,-8,1547,NA
"108",2007,2,3,"NW","DTW","TPA",3,35,983,NA
"109",2007,2,9,"OO","SGF","DEN",8,34,637,NA
"110",2007,2,6,"WN","PBI","BWI",2,-26,883,NA
"111",2007,2,8,"WN","LAX","TUS",45,39,451,NA
"112",2007,2,6,"YV","PHX","YUM",-3,2,160,NA
"113",2007,2,1,"FL","IAD","ATL",NA,NA,533,NA
"114",2007,2,15,"OO","LAX","SAN",24,32,109,NA
"115",2007,2,15,"9E","MEM","TLH",9,55,458,NA
"116",2007,2,14,"NW","MKE","DTW",-5,5,238,NA
"117",2007,2,21,"DL","ATL","ORF",8,44,516,NA
"118",2007,2,5,"US","PHX","LAX",0,-8,370,NA
"119",2007,2,20,"EV","ATL","LIT",16,7,453,NA
"120",2007,2,23,"OO","SBA","SJC",-7,-1,234,NA
"121",2007,2,26,"MQ","CAE","DFW",-2,-8,922,NA
"122",2007,2,15,"AA","BOS","LAX",17,-30,2611,NA
"123",2007,2,12,"FL","LGA","ATL",-2,-14,761,NA
"124",2007,2,23,"US","PHX","PDX",8,19,1009,NA
"125",2007,2,7,"AA","PHL","ORD",54,44,678,NA
"126",2007,2,24,"AA","DFW","OKC",NA,NA,175,NA
"127",2007,2,20,"XE","IAH","BRO",-1,3,308,NA
"128",2007,2,27,"US","SJC","PHX",14,4,622,NA
"129",2007,2,13,"WN","BNA","MDW",323,323,395,NA
"130",2007,2,26,"B6","BOS","BUF",153,136,396,NA
"131",2007,2,7,"MQ","SGF","DFW",-5,8,364,NA
"132",2007,2,15,"FL","MCO","PHL",151,145,861,NA
"133",2007,2,27,"XE","ATL","IAH",-3,-11,689,NA
"134",2007,2,25,"AA","LAX","JFK",0,10,2475,NA
"135",2007,2,23,"OH","LGA","GSO",125,167,461,NA
"136",2007,2,1,"NW","LGA","DTW",0,-9,501,NA
"137",2007,2,24,"XE","EWR","ATL",6,-9,745,NA
"138",2007,2,17,"AS","JNU","SIT",-26,-31,95,NA
"139",2007,2,2,"HA","HNL","LIH",-7,-9,102,NA
"140",2007,2,3,"DL","BOS","MCO",-4,30,1121,NA
"141",2007,2,28,"EV","SHV","ATL",-3,-22,551,NA
"142",2007,2,10,"9E","AUS","MEM",-10,-13,559,NA
"143",2007,2,6,"UA","CLT","DEN",-1,5,1338,NA
"144",2007,2,2,"OO","SFO","EUG",92,92,451,NA
"145",2007,2,2,"WN","PHX","OAK",-3,-6,646,NA
"146",2007,2,28,"AS","SEA","KTN",6,11,680,NA
"147",2007,2,12,"CO","SFO","EWR",6,-14,2565,NA
"148",2007,2,21,"AA","BHM","DFW",-11,-7,597,NA
"149",2007,2,5,"UA","ORD","LGA",61,106,733,NA
"150",2007,2,27,"AA","DFW","PHX",-3,-15,868,NA
"151",2007,2,25,"HA","HNL","OGG",-3,-5,100,NA
"152",2007,2,11,"OO","LGB","SLC",-13,-18,589,NA
"153",2007,2,27,"MQ","BOS","LGA",82,71,185,NA
"154",2007,2,6,"DL","CMH","ATL",-4,82,446,NA
"155",2007,2,1,"EV","ATL","MDW",NA,NA,590,NA
"156",2007,2,10,"US","ROC","CLT",9,10,573,NA
"157",2007,2,5,"FL","LAX","ATL",-3,14,1946,NA
"158",2007,2,2,"AA","MIA","SJU",-1,-6,1045,NA
"159",2007,2,12,"US","PHL","CLT",NA,NA,448,NA
"160",2007,2,12,"FL","CLT","ATL",0,-15,227,NA
"161",2007,2,13,"OO","LAX","SAN",0,-1,109,NA
"162",2007,2,5,"MQ","LSE","ORD",32,61,215,NA
"163",2007,2,19,"EV","SAT","ATL",330,289,874,NA
"164",2007,2,28,"AA","MIA","LGA",0,-10,1097,NA
"165",2007,2,24,"WN","PIT","PHL",11,-3,267,NA
"166",2007,2,5,"XE","IAH","BTR",-1,3,253,NA
"167",2007,2,19,"UA","ORD","PVD",-1,7,849,NA
"168",2007,2,18,"AA","BDL","DFW",-5,-7,1471,NA
"169",2007,2,26,"WN","HOU","HRL",25,18,276,NA
"170",2007,2,27,"FL","ATL","EWR",90,87,745,NA
"171",2007,2,24,"OO","LEX","ORD",-1,-5,323,NA
"172",2007,2,20,"9E","DTW","CVG",6,-5,229,NA
"173",2007,2,7,"WN","SAN","OAK",-2,-12,446,NA
"174",2007,2,24,"WN","LAS","ELP",-2,-6,584,NA
"175",2007,2,20,"OH","JFK","BOS",10,13,187,NA
"176",2007,2,21,"AA","MFE","DFW",-6,-8,468,NA
"177",2007,2,22,"EV","ATL","OMA",0,7,821,NA
"178",2007,2,17,"OH","CVG","LAN",0,14,258,NA
"179",2007,2,28,"MQ","DFW","SGF",-1,-9,364,NA
"180",2007,2,25,"XE","PNS","IAH",-7,-14,489,NA
"181",2007,2,3,"MQ","SAN","SJC",-5,-19,418,NA
"182",2007,2,9,"MQ","MIA","RIC",0,4,826,NA
"183",2007,2,4,"MQ","ORD","HPN",-4,-11,738,NA
"184",2007,2,14,"OO","SFO","FAT",3,-1,158,NA
"185",2007,2,11,"AA","ORD","SAN",131,127,1723,NA
"186",2007,2,17,"9E","DTW","CVG",1,19,229,NA
"187",2007,2,7,"US","BWI","LAS",4,22,2106,NA
"188",2007,2,13,"WN","STL","SDF",5,5,254,NA
"189",2007,2,15,"OO","MSO","SLC",5,-3,436,NA
"190",2007,2,23,"OO","DEN","SLC",116,112,390,NA
"191",2007,2,10,"NW","BHM","MEM",-6,-16,211,NA
"192",2007,2,21,"OH","JFK","ORD",0,7,740,NA
"193",2007,2,7,"MQ","SYR","ORD",-4,-18,607,NA
"194",2007,2,6,"B6","JFK","BTV",9,10,267,NA
"195",2007,2,13,"MQ","SDF","DFW",36,31,733,NA
"196",2007,2,21,"OO","ORD","ABE",5,-2,654,NA
"197",2007,2,21,"XE","CLT","EWR",16,-15,529,NA
"198",2007,2,27,"MQ","ORD","SYR",11,19,607,NA
"199",2007,2,27,"DL","ABQ","CVG",-3,-2,1240,NA
"200",2007,2,16,"XE","IAH","MEM",4,13,469,NA
"201",2007,2,3,"XE","IAH","DSM",37,20,802,NA
"202",2007,2,16,"WN","LAS","BNA",53,30,1588,NA
"203",2007,2,5,"YV","ROC","IAD",60,60,289,NA
"204",2007,2,1,"NW","DTW","MKE",0,-5,238,NA
"205",2007,2,1,"OH","CLE","JFK",-5,16,425,NA
"206",2007,2,5,"MQ","BGR","LGA",NA,NA,378,NA
"207",2007,2,4,"WN","MCO","ORF",26,3,655,NA
"208",2007,2,11,"UA","DEN","DFW",-2,0,641,NA
"209",2007,2,20,"XE","BHM","IAH",-2,-6,562,NA
"210",2007,2,4,"OO","BIL","SLC",3,-2,387,NA
"211",2007,2,10,"AA","ATL","DFW",0,7,732,NA
"212",2007,2,13,"WN","LAS","OAK",10,1,407,NA
"213",2007,2,23,"B6","RDU","JFK",-9,-3,426,NA
"214",2007,2,6,"WN","MAF","ELP",-1,-9,246,NA
"215",2007,2,11,"US","PHL","LAX",31,18,2401,NA
"216",2007,2,27,"OO","DEN","MEM",-2,-3,872,NA
"217",2007,2,9,"AA","TUS","DFW",3,22,813,NA
"218",2007,2,23,"AS","SEA","LGB",17,-15,965,NA
"219",2007,2,5,"MQ","MIA","CLE",-2,-5,1080,NA
"220",2007,2,8,"AA","DFW","BOS",-6,1,1562,NA
"221",2007,2,25,"WN","SAN","SJC",1,2,418,NA
"222",2007,2,16,"EV","DCA","CVG",3,-4,411,NA
"223",2007,2,16,"9E","IND","PHL",32,30,587,NA
"224",2007,2,13,"OO","LAX","SMF",-1,6,373,NA
"225",2007,2,27,"OO","PDX","EUG",-3,3,106,NA
"226",2007,2,26,"FL","TPA","PHL",49,45,920,NA
"227",2007,2,14,"MQ","DFW","JAN",-2,-10,408,NA
"228",2007,2,13,"CO","IAH","ORD",-2,48,925,NA
"229",2007,2,7,"XE","EWR","TYS",-6,21,631,NA
"230",2007,2,25,"XE","EWR","BDL",0,-10,115,NA
"231",2007,2,20,"AA","LAS","DFW",21,19,1055,NA
"232",2007,2,19,"CO","ATL","EWR",19,19,745,NA
"233",2007,2,4,"WN","DAL","LIT",13,6,296,NA
"234",2007,2,12,"OO","ORD","MSN",151,184,109,NA
"235",2007,2,6,"WN","OAK","GEG",-4,-16,723,NA
"236",2007,2,15,"AA","DFW","PHX",11,1,868,NA
"237",2007,2,3,"OO","ORD","ICT",52,32,588,NA
"238",2007,2,12,"YV","PHX","SAT",179,162,843,NA
"239",2007,2,27,"MQ","RDU","LGA",58,50,431,NA
"240",2007,2,23,"YV","GSP","IAD",-6,0,383,NA
"241",2007,2,26,"YV","TEX","PHX",-7,-8,387,NA
"242",2007,2,25,"9E","GSP","DTW",9,-4,508,NA
"243",2007,2,21,"EV","ABY","ATL",49,111,146,NA
"244",2007,2,15,"AA","DCA","MIA",21,17,920,NA
"245",2007,2,26,"DL","MCO","LGA",26,6,950,NA
"246",2007,2,11,"MQ","DSM","DFW",-7,-22,624,NA
"247",2007,2,2,"UA","ORD","MCO",-2,6,1005,NA
"248",2007,2,1,"9E","MEM","JAN",-4,-8,189,NA
"249",2007,2,24,"AA","JFK","SFO",68,76,2586,NA
"250",2007,2,21,"EV","ATL","SDF",30,38,321,NA
"251",2007,2,6,"WN","ABQ","DAL",2,-8,580,NA
"252",2007,2,13,"MQ","CMH","LGA",NA,NA,478,NA
"253",2007,2,28,"EV","ATL","ILG",0,-28,642,NA
"254",2007,2,11,"MQ","ORD","MEM",1,-3,491,NA
