"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2007,4,19,"AA","OAK","DFW",-5,-11,1456,NA
"2",2007,4,17,"EV","ATL","VLD",0,0,208,NA
"3",2007,4,11,"EV","ATL","GSP",22,14,153,NA
"4",2007,4,28,"AA","ORD","ABQ",-4,-24,1118,NA
"5",2007,4,6,"OH","CVG","MEM",-1,13,403,NA
"6",2007,4,21,"AS","SFO","LAX",12,10,337,NA
"7",2007,4,2,"NW","MSP","SAN",170,173,1532,NA
"8",2007,4,18,"AA","STL","RDU",-5,-7,667,NA
"9",2007,4,15,"CO","BOS","CLE",30,13,563,NA
"10",2007,4,1,"DL","ATL","DFW",-2,-11,732,NA
"11",2007,4,28,"WN","DEN","LAS",-4,-30,629,NA
"12",2007,4,18,"9E","GSO","MEM",-5,1,570,NA
"13",2007,4,10,"9E","JAN","MEM",-4,-9,189,NA
"14",2007,4,28,"B6","BOS","JFK",2,-2,187,NA
"15",2007,4,24,"WN","SMF","SNA",0,-11,404,NA
"16",2007,4,2,"XE","BRO","IAH",-5,-12,308,NA
"17",2007,4,17,"WN","SAN","TUS",-4,-6,367,NA
"18",2007,4,13,"NW","FNT","DTW",-6,-17,56,NA
"19",2007,4,25,"EV","DCA","JAN",5,3,860,NA
"20",2007,4,25,"FL","RSW","ATL",-5,-18,515,NA
"21",2007,4,9,"DL","PBI","ATL",-3,-12,545,NA
"22",2007,4,14,"XE","IAH","BNA",33,27,657,NA
"23",2007,4,25,"DL","JFK","SAN",0,116,2446,NA
"24",2007,4,29,"OO","SLC","BOI",-1,-9,291,NA
"25",2007,4,11,"XE","IAH","HSV",-10,-18,595,NA
"26",2007,4,24,"HA","SFO","HNL",-7,8,2399,NA
"27",2007,4,24,"UA","ORD","SMF",-3,32,1781,NA
"28",2007,4,15,"UA","DEN","BIL",0,-12,455,NA
"29",2007,4,14,"XE","IAH","GPT",-3,6,376,NA
"30",2007,4,30,"WN","PHX","BWI",1,-7,1999,NA
"31",2007,4,11,"HA","SJC","HNL",0,-2,2416,NA
"32",2007,4,29,"9E","DTW","CLE",-4,-5,95,NA
"33",2007,4,29,"AS","FAI","ANC",-4,-2,261,NA
"34",2007,4,18,"OO","SFO","ONT",38,34,363,NA
"35",2007,4,20,"XE","BNA","IAH",-4,-10,657,NA
"36",2007,4,9,"XE","VPS","IAH",-7,-8,528,NA
"37",2007,4,24,"YV","IAD","BUF",-2,-13,284,NA
"38",2007,4,4,"F9","SAN","DEN",40,35,853,NA
