"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2007,7,14,"YV","IAD","BHM",-5,-9,638,NA
"2",2007,7,28,"EV","ATL","BQK",170,174,238,NA
"3",2007,7,8,"WN","PHX","PHL",8,-19,2075,NA
"4",2007,7,1,"OO","ASE","DEN",-10,-12,125,NA
"5",2007,7,17,"US","BOS","LGA",111,104,185,NA
"6",2007,7,14,"US","CLT","SAN",5,1,2077,NA
"7",2007,7,22,"NW","IAD","MSP",NA,NA,908,NA
"8",2007,7,13,"OO","SLC","BIL",-9,4,387,NA
"9",2007,7,8,"MQ","CVG","ORD",-6,-7,264,NA
"10",2007,7,16,"NW","MSP","BWI",4,-3,936,NA
"11",2007,7,10,"UA","DEN","SAT",-2,-7,794,NA
"12",2007,7,13,"OO","YKM","SLC",-6,-6,586,NA
"13",2007,7,3,"FL","ATL","MCO",-1,-2,403,NA
"14",2007,7,22,"MQ","DFW","JAN",22,26,408,NA
"15",2007,7,5,"YV","BFL","PHX",10,6,425,NA
"16",2007,7,9,"9E","MSP","DSM",-2,7,232,NA
"17",2007,7,31,"FL","ATL","JAX",-2,0,270,NA
"18",2007,7,30,"XE","FAT","SAN",-4,-5,314,NA
"19",2007,7,28,"YV","ASE","DEN",-10,-12,125,NA
"20",2007,7,5,"OO","BUR","SFO",-8,-12,326,NA
"21",2007,7,7,"US","CLT","JAX",15,23,329,NA
"22",2007,7,3,"WN","SAT","ELP",19,8,496,NA
"23",2007,7,4,"AA","DFW","EWR",-3,-6,1372,NA
"24",2007,7,19,"MQ","DSM","DFW",-2,2,624,NA
"25",2007,7,11,"WN","LAS","BUR",79,78,223,NA
"26",2007,7,19,"MQ","ORD","SYR",48,NA,607,NA
"27",2007,7,9,"WN","TPA","HOU",1,-12,781,NA
"28",2007,7,22,"US","MIA","PHL",-10,23,1013,NA
"29",2007,7,24,"WN","BWI","PVD",4,4,328,NA
"30",2007,7,13,"US","SFO","LAS",0,2,414,NA
"31",2007,7,29,"UA","IAD","SEA",NA,NA,2306,NA
"32",2007,7,21,"OO","SMF","LAX",17,11,373,NA
"33",2007,7,9,"WN","OMA","MDW",12,7,423,NA
"34",2007,7,25,"OO","SLC","FSD",-6,-1,804,NA
"35",2007,7,28,"CO","ABQ","IAH",10,6,744,NA
"36",2007,7,8,"US","PHL","BOS",1,-5,280,NA
"37",2007,7,19,"DL","LGA","ATL",117,104,761,NA
"38",2007,7,25,"FL","MCO","HPN",-7,-15,972,NA
"39",2007,7,8,"US","SMF","PHX",18,9,647,NA
"40",2007,7,19,"WN","MSY","FLL",0,-11,673,NA
"41",2007,7,31,"AA","DFW","ONT",-7,-2,1188,NA
"42",2007,7,10,"WN","SMF","LAX",-2,-3,373,NA
"43",2007,7,9,"9E","MSP","DSM",-3,3,232,NA
"44",2007,7,6,"XE","TYS","IAH",162,148,772,NA
"45",2007,7,26,"WN","OAK","BUR",7,3,325,NA
"46",2007,7,27,"NW","DEN","DTW",-2,6,1123,NA
"47",2007,7,4,"US","PHX","SNA",-1,-12,338,NA
"48",2007,7,29,"WN","RNO","LAS",-3,-8,345,NA
"49",2007,7,6,"AA","SNA","SJC",-9,-13,342,NA
"50",2007,7,1,"WN","LAX","OAK",4,-1,337,NA
"51",2007,7,7,"AS","PDX","SFO",6,-3,550,NA
"52",2007,7,6,"OO","CIC","SFO",-5,-14,153,NA
"53",2007,7,18,"FL","ATL","LGA",191,243,761,NA
"54",2007,7,26,"B6","RSW","EWR",19,11,1068,NA
"55",2007,7,13,"WN","MCO","ALB",-5,-22,1073,NA
"56",2007,7,4,"OO","LAX","CLD",7,12,86,NA
"57",2007,7,29,"DL","JFK","SEA",7,16,2421,NA
"58",2007,7,31,"WN","SJC","ONT",61,58,334,NA
"59",2007,7,23,"CO","IAH","DTW",-1,9,1076,NA
"60",2007,7,25,"AS","SEA","SNA",23,21,978,NA
"61",2007,7,9,"US","LGA","BOS",-5,46,185,NA
"62",2007,7,20,"B6","BOS","JFK",0,-6,187,NA
"63",2007,7,16,"F9","SFO","DEN",11,24,967,NA
"64",2007,7,6,"WN","DAL","MAF",6,2,319,NA
"65",2007,7,30,"WN","MCO","FLL",6,14,178,NA
"66",2007,7,23,"WN","OKC","STL",-1,-2,462,NA
"67",2007,7,8,"CO","EWR","FLL",7,-12,1065,NA
"68",2007,7,20,"DL","ATL","MSY",54,53,425,NA
"69",2007,7,12,"AA","ORD","LGA",-4,-20,733,NA
"70",2007,7,5,"CO","BOS","EWR",-3,-12,200,NA
"71",2007,7,26,"US","PHX","ATL",29,31,1587,NA
"72",2007,7,25,"EV","GSO","ATL",-2,25,306,NA
"73",2007,7,9,"WN","PHL","MHT",-1,-7,290,NA
"74",2007,7,27,"EV","SDF","ATL",11,12,321,NA
"75",2007,7,30,"OO","SLC","CPR",-4,-2,320,NA
"76",2007,7,12,"DL","CVG","DEN",18,20,1069,NA
"77",2007,7,15,"WN","PHX","BUR",-2,-12,369,NA
"78",2007,7,10,"NW","RDU","DTW",-10,-9,501,NA
"79",2007,7,23,"MQ","DFW","CLL",-2,-2,164,NA
"80",2007,7,24,"DL","TPA","ATL",-10,-23,406,NA
"81",2007,7,5,"MQ","MAF","DFW",-5,-11,309,NA
"82",2007,7,23,"YV","GJT","PHX",-10,8,438,NA
"83",2007,7,21,"UA","IAD","PDX",13,-10,2327,NA
"84",2007,7,1,"EV","ATL","CRW",60,59,363,NA
"85",2007,7,26,"AA","SAT","DFW",-1,-7,247,NA
"86",2007,7,10,"US","CLT","TPA",19,2,508,NA
"87",2007,7,22,"WN","BUR","OAK",39,38,325,NA
"88",2007,7,7,"NW","MSP","LAX",3,0,1536,NA
"89",2007,7,17,"NW","DTW","ORF",8,2,529,NA
"90",2007,7,19,"AA","LAX","DFW",-2,-5,1235,NA
"91",2007,7,6,"NW","DTW","ROC",-2,-7,296,NA
"92",2007,7,19,"UA","DEN","SNA",80,60,846,NA
"93",2007,7,8,"XE","IAH","BTR",29,22,253,NA
"94",2007,7,10,"AA","HNL","LAX",22,10,2556,NA
"95",2007,7,21,"9E","FWA","DTW",-5,-7,128,NA
"96",2007,7,16,"UA","SLC","DEN",33,43,390,NA
"97",2007,7,18,"DL","SLC","MCO",24,30,1929,NA
"98",2007,7,22,"AA","PHL","DFW",-1,5,1302,NA
"99",2007,7,25,"9E","DTW","SBN",-3,36,157,NA
"100",2007,7,6,"WN","OAK","LAS",4,13,407,NA
"101",2007,7,18,"EV","ATL","ATW",8,21,765,NA
"102",2007,7,20,"NW","MEM","SAT",12,16,625,NA
"103",2007,7,5,"EV","MDW","ATL",-5,-11,590,NA
"104",2007,7,16,"OO","ATL","GSP",22,29,153,NA
"105",2007,7,29,"B6","JFK","IAD",9,97,228,NA
"106",2007,7,16,"DL","MCO","SLC",-2,-12,1929,NA
"107",2007,7,26,"NW","BWI","DTW",-4,-8,408,NA
