"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2007,12,16,"OO","JAC","SLC",-10,-7,205,NA
"2",2007,12,19,"AA","BWI","DFW",-2,-9,1217,NA
"3",2007,12,10,"WN","ABQ","MDW",-1,-24,1121,NA
"4",2007,12,16,"AA","HDN","DFW",100,89,769,NA
"5",2007,12,4,"YV","CLT","STL",0,0,575,NA
"6",2007,12,20,"YV","PHX","SNA",0,-4,338,NA
"7",2007,12,18,"XE","MKE","IAH",22,9,984,NA
"8",2007,12,28,"OH","CVG","BOS",11,6,752,NA
"9",2007,12,19,"WN","STL","LAS",0,-21,1372,NA
"10",2007,12,27,"B6","JFK","JAX",0,13,829,NA
"11",2007,12,1,"XE","CLE","AUS",-4,-17,1174,NA
"12",2007,12,13,"UA","ORD","PHL",-1,8,678,NA
"13",2007,12,13,"WN","SAN","OAK",2,-5,446,NA
"14",2007,12,8,"YV","ORD","ROC",9,-3,528,NA
"15",2007,12,30,"OO","ORD","IND",-6,-13,177,NA
"16",2007,12,18,"DL","ATL","CLT",-6,-9,227,NA
"17",2007,12,5,"MQ","DFW","CLL",-3,-6,164,NA
"18",2007,12,21,"FL","ATL","LGA",10,36,761,NA
"19",2007,12,3,"AA","STL","ORD",-4,-8,258,NA
"20",2007,12,9,"WN","CLE","MDW",26,22,307,NA
"21",2007,12,1,"MQ","LFT","DFW",NA,NA,351,NA
"22",2007,12,22,"OO","SLC","BTM",99,87,357,NA
"23",2007,12,16,"NW","MCO","MSP",16,25,1310,NA
"24",2007,12,28,"AA","IAH","MIA",0,-5,964,NA
"25",2007,12,6,"WN","MDW","CMH",1,-1,284,NA
"26",2007,12,28,"DL","LAS","ATL",44,32,1747,NA
"27",2007,12,6,"AS","SEA","PHX",10,20,1107,NA
"28",2007,12,2,"9E","MEM","DSM",-3,-11,490,NA
"29",2007,12,31,"DL","LGA","MCO",-3,16,950,NA
"30",2007,12,13,"WN","BWI","DEN",0,8,1491,NA
"31",2007,12,14,"FL","SRQ","ATL",-7,-11,445,NA
"32",2007,12,14,"XE","EWR","BWI",84,76,169,NA
"33",2007,12,19,"AA","TPA","MIA",0,2,204,NA
"34",2007,12,21,"WN","LAX","RNO",33,32,390,NA
"35",2007,12,13,"OO","SFO","ACV",-3,-8,250,NA
"36",2007,12,22,"F9","DEN","FLL",36,32,1703,NA
"37",2007,12,2,"WN","STL","DAL",21,13,546,NA
"38",2007,12,6,"WN","LAS","AUS",57,46,1090,NA
"39",2007,12,31,"NW","MCI","MSP",0,-10,393,NA
