"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2008,5,6,"XE","IAH","TYS",0,-2,772,NA
"2",2008,5,5,"DL","SAN","ATL",-2,-10,1891,NA
"3",2008,5,30,"EV","CVG","EVV",-8,-10,170,NA
"4",2008,5,26,"B6","MCO","BUF",34,25,1011,NA
"5",2008,5,17,"YV","ATW","ORD",11,30,160,NA
"6",2008,5,16,"MQ","MAF","DFW",-4,-2,309,NA
"7",2008,5,10,"AA","DFW","BOS",14,6,1562,NA
"8",2008,5,16,"WN","SEA","OAK",17,5,671,NA
"9",2008,5,27,"DL","ATL","JAX",-3,-8,270,NA
"10",2008,5,11,"WN","BUR","SJC",0,-4,297,NA
"11",2008,5,2,"MQ","DFW","AMA",44,41,313,NA
"12",2008,5,20,"CO","IAH","CMH",-2,7,986,NA
"13",2008,5,15,"EV","ATL","MHT",2,-2,952,NA
"14",2008,5,10,"MQ","ALB","ORD",-9,-26,723,NA
"15",2008,5,9,"AA","DFW","CMH",-5,-9,927,NA
"16",2008,5,15,"YV","PHX","AUS",0,4,872,NA
"17",2008,5,13,"9E","IAD","DTW",-8,-23,383,NA
"18",2008,5,25,"FL","MCI","MCO",-8,-6,1072,NA
"19",2008,5,26,"NW","LAS","MSP",-6,-16,1300,NA
"20",2008,5,2,"OO","SBA","LAX",0,-8,89,NA
"21",2008,5,18,"AA","DCA","DFW",-3,0,1192,NA
"22",2008,5,12,"WN","AUS","DAL",2,-5,189,NA
"23",2008,5,11,"DL","ATL","RDU",31,26,356,NA
"24",2008,5,20,"HA","HNL","OGG",-5,-3,100,NA
"25",2008,5,13,"DL","STT","ATL",-10,-12,1599,NA
"26",2008,5,30,"B6","SLC","SAN",-2,4,626,NA
"27",2008,5,4,"WN","PDX","RNO",2,-5,444,NA
"28",2008,5,7,"AA","BOS","DFW",70,72,1562,NA
"29",2008,5,17,"9E","LIT","MSP",-4,-12,703,NA
"30",2008,5,3,"AS","ANC","FAI",-3,-7,261,NA
"31",2008,5,21,"UA","SFO","KOA",-4,3,2367,NA
"32",2008,5,19,"MQ","XNA","ORD",-2,-13,522,NA
"33",2008,5,3,"OH","LGA","CVG",-10,-19,585,NA
"34",2008,5,30,"F9","SAN","DEN",-2,-5,853,NA
"35",2008,5,2,"CO","IAH","MIA",0,-11,964,NA
"36",2008,5,28,"AS","SJC","SEA",-14,-26,696,NA
"37",2008,5,25,"FL","BWI","DFW",-3,-7,1217,NA
"38",2008,5,5,"WN","MSY","DAL",7,4,437,NA
"39",2008,5,7,"WN","OAK","LAS",3,0,407,NA
"40",2008,5,30,"XE","AUS","ABQ",-6,-1,619,NA
"41",2008,5,17,"WN","BWI","PVD",5,0,328,NA
"42",2008,5,4,"WN","LAS","PDX",0,-16,762,NA
"43",2008,5,20,"AS","ANC","ADQ",130,119,253,NA
"44",2008,5,19,"OO","BOI","SFO",-5,1,522,NA
"45",2008,5,24,"WN","BNA","MCI",-7,-6,491,NA
"46",2008,5,28,"DL","DCA","LGA",-3,-20,214,NA
"47",2008,5,6,"WN","STL","CLE",1,2,487,NA
"48",2008,5,25,"WN","PHL","BNA",-7,-45,675,NA
"49",2008,5,29,"UA","SFO","ORD",27,9,1846,NA
"50",2008,5,4,"WN","HOU","HRL",5,3,276,NA
"51",2008,5,8,"MQ","ORD","PIA",14,8,130,NA
"52",2008,5,5,"MQ","RDU","LGA",1,-26,431,NA
"53",2008,5,13,"OO","ORD","ATL",0,1,606,NA
"54",2008,5,17,"WN","SFO","MDW",-1,-7,1855,NA
"55",2008,5,21,"CO","CLE","MCO",-6,-4,895,NA
"56",2008,5,20,"YV","DEN","MSN",-6,-5,826,NA
"57",2008,5,21,"WN","LAS","PHX",-2,23,256,NA
"58",2008,5,28,"AA","ORD","MSY",-1,-6,837,NA
"59",2008,5,8,"MQ","DFW","SJT",2,-5,228,NA
"60",2008,5,2,"NW","TPA","MEM",49,87,656,NA
"61",2008,5,31,"AA","BNA","DFW",-4,5,631,NA
"62",2008,5,13,"NW","DTW","IAD",-5,-18,383,NA
"63",2008,5,9,"AA","DFW","SFO",7,16,1464,NA
"64",2008,5,23,"WN","PIT","MDW",4,7,402,NA
"65",2008,5,5,"F9","ATL","DEN",-4,11,1199,NA
"66",2008,5,14,"OH","LIT","CVG",-5,-10,513,NA
"67",2008,5,3,"OO","DRO","DEN",-10,9,251,NA
"68",2008,5,9,"WN","BNA","MDW",30,29,395,NA
"69",2008,5,19,"NW","GRR","MSP",-3,9,408,NA
"70",2008,5,25,"YV","SAV","IAD",8,8,515,NA
"71",2008,5,18,"WN","ISP","MCO",-1,3,972,NA
"72",2008,5,30,"US","PHX","RNO",6,-4,601,NA
"73",2008,5,11,"CO","EWR","LAX",4,5,2454,NA
"74",2008,5,16,"MQ","RDU","MCI",-4,12,904,NA
"75",2008,5,19,"WN","HOU","LAX",1,-5,1390,NA
"76",2008,5,24,"UA","RNO","SFO",-8,-4,192,NA
"77",2008,5,5,"MQ","SAN","LAX",-5,-11,109,NA
"78",2008,5,1,"B6","HPN","PBI",-3,-6,1057,NA
"79",2008,5,14,"9E","MEM","BWI",14,-1,787,NA
"80",2008,5,29,"US","DCA","BOS",-4,-4,399,NA
"81",2008,5,23,"WN","MSY","DAL",74,73,437,NA
"82",2008,5,28,"OO","MFR","PDX",4,-1,222,NA
"83",2008,5,21,"OO","SLC","CPR",-7,-25,320,NA
"84",2008,5,23,"EV","CHO","ATL",-4,-8,457,NA
"85",2008,5,16,"AA","STL","LGA",12,38,887,NA
"86",2008,5,29,"WN","SAN","PHX",0,3,304,NA
"87",2008,5,20,"MQ","SDF","DFW",2,2,733,NA
"88",2008,5,4,"NW","PHL","DTW",-4,-12,453,NA
"89",2008,5,28,"WN","ONT","SJC",30,24,334,NA
"90",2008,5,9,"DL","ATL","BOS",-3,-2,946,NA
"91",2008,5,24,"9E","AVP","DTW",-5,-18,398,NA
"92",2008,5,15,"OO","DAY","DEN",-5,47,1085,NA
"93",2008,5,22,"B6","FLL","JFK",17,41,1069,NA
"94",2008,5,27,"WN","HOU","MSY",3,-1,303,NA
"95",2008,5,21,"CO","EWR","BOS",-4,9,200,NA
"96",2008,5,18,"MQ","DSM","ORD",-5,-13,299,NA
"97",2008,5,23,"WN","HOU","MCO",14,2,848,NA
"98",2008,5,6,"EV","ATL","ICT",151,155,781,NA
"99",2008,5,6,"WN","DEN","PHX",-5,-16,602,NA
"100",2008,5,2,"OO","SBP","SFO",-5,-10,191,NA
"101",2008,5,12,"DL","DCA","LGA",0,-10,214,NA
"102",2008,5,5,"NW","BIL","MSP",-10,-18,748,NA
"103",2008,5,21,"NW","DTW","MKE",-5,-4,238,NA
"104",2008,5,1,"UA","ORD","DCA",53,64,612,NA
"105",2008,5,6,"HA","HNL","LIH",7,3,102,NA
"106",2008,5,8,"FL","ATL","RIC",-5,5,481,NA
"107",2008,5,17,"OO","RDD","SFO",26,22,199,NA
"108",2008,5,30,"AA","TPA","DFW",-1,-17,929,NA
"109",2008,5,18,"UA","IAD","MCO",1,7,758,NA
"110",2008,5,16,"CO","IAH","SAT",-2,-10,191,NA
"111",2008,5,22,"WN","SMF","ONT",175,168,390,NA
"112",2008,5,22,"DL","ATL","SEA",2,-26,2182,NA
"113",2008,5,5,"AA","DFW","DEN",-4,5,641,NA
"114",2008,5,29,"FL","PBI","ATL",-8,-12,545,NA
"115",2008,5,17,"NW","SAT","MEM",-5,-18,625,NA
"116",2008,5,31,"AA","OMA","DFW",-4,-6,583,NA
"117",2008,5,27,"AA","SLC","ORD",0,12,1249,NA
"118",2008,5,29,"MQ","AMA","DFW",-6,-4,313,NA
"119",2008,5,12,"AS","LAS","PDX",-1,-2,762,NA
"120",2008,5,18,"AA","DFW","OAK",3,-9,1456,NA
"121",2008,5,24,"DL","ATL","SJU",6,12,1547,NA
"122",2008,5,11,"9E","IND","MEM",-3,-11,381,NA
"123",2008,5,7,"CO","SFO","EWR",22,19,2565,NA
"124",2008,5,25,"OO","MFR","PDX",-7,-3,222,NA
"125",2008,5,1,"DL","CVG","SAN",-5,7,1865,NA
"126",2008,5,26,"9E","MEM","ICT",-5,-4,453,NA
"127",2008,5,27,"AA","PDX","DFW",74,98,1616,NA
"128",2008,5,10,"9E","CMH","MEM",-4,19,518,NA
"129",2008,5,12,"UA","ORD","BWI",-8,-8,622,NA
"130",2008,5,28,"F9","MDW","DEN",-5,9,895,NA
"131",2008,5,20,"YV","HNL","ITO",-5,7,216,NA
"132",2008,5,21,"F9","DEN","CAK",-4,-13,1224,NA
"133",2008,5,30,"OO","BFL","SFO",65,71,238,NA
"134",2008,5,10,"UA","ORD","ATL",-3,-12,606,NA
"135",2008,5,3,"DL","MCO","ATL",-1,-9,403,NA
"136",2008,5,6,"EV","BNA","ATL",-8,-16,214,NA
"137",2008,5,23,"OH","PHL","JFK",-1,5,94,NA
"138",2008,5,27,"MQ","SAN","LAX",-5,-7,109,NA
"139",2008,5,4,"AA","SJU","BOS",10,16,1674,NA
"140",2008,5,13,"CO","EWR","ATL",-9,-10,745,NA
"141",2008,5,1,"WN","BUF","BWI",0,-8,281,NA
"142",2008,5,15,"US","DCA","MCO",-5,-16,759,NA
"143",2008,5,23,"DL","SMF","SLC",-3,-9,532,NA
"144",2008,5,28,"OO","SLC","SBP",1,-5,608,NA
"145",2008,5,18,"UA","PHX","SFO",2,-7,651,NA
"146",2008,5,3,"XE","CMH","EWR",29,18,462,NA
"147",2008,5,21,"B6","MCO","LGA",-6,-11,950,NA
"148",2008,5,2,"MQ","DFW","AEX",2,33,285,NA
"149",2008,5,29,"OO","GRR","MKE",-7,-14,120,NA
"150",2008,5,3,"AA","DFW","MSY",-3,21,448,NA
