"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2008,7,4,"YV","BWI","CLT",0,-5,361,NA
"2",2008,7,5,"WN","OAK","BNA",1,-10,1959,NA
"3",2008,7,13,"AS","LAS","PDX",-6,23,762,NA
"4",2008,7,29,"HA","HNL","OGG",-3,6,100,NA
"5",2008,7,9,"F9","SEA","DEN",0,-16,1024,NA
"6",2008,7,24,"OO","ONT","SFO",-9,11,363,NA
"7",2008,7,22,"AA","BNA","LGA",-1,-10,764,NA
"8",2008,7,25,"WN","MDW","CMH",-2,-16,284,NA
"9",2008,7,19,"CO","IAH","SMF",-3,-8,1609,NA
"10",2008,7,10,"WN","LAS","SFO",2,-14,414,NA
"11",2008,7,20,"DL","SLC","FLL",2,2,2083,NA
"12",2008,7,28,"EV","BMI","ATL",-1,-8,533,NA
"13",2008,7,18,"MQ","DFW","EVV",-3,-2,642,NA
"14",2008,7,4,"OH","CVG","LEX",0,6,70,NA
"15",2008,7,10,"XE","BNA","IAH",-10,-14,657,NA
"16",2008,7,27,"WN","OAK","ONT",1,-4,362,NA
"17",2008,7,14,"WN","SAN","SFO",33,33,447,NA
"18",2008,7,10,"MQ","HSV","ORD",-3,0,510,NA
"19",2008,7,4,"FL","MDW","ATL",-3,-10,590,NA
"20",2008,7,18,"MQ","CID","DFW",-4,-5,685,NA
"21",2008,7,24,"OH","ATL","JFK",70,82,760,NA
"22",2008,7,6,"UA","TPA","IAD",153,162,810,NA
"23",2008,7,5,"US","LAX","PHX",-3,-14,370,NA
"24",2008,7,21,"NW","LAS","DTW",3,4,1750,NA
"25",2008,7,19,"MQ","ORD","TOL",-3,-5,214,NA
"26",2008,7,23,"FL","TPA","BWI",47,43,842,NA
"27",2008,7,29,"UA","ORD","LAX",2,-9,1745,NA
"28",2008,7,10,"B6","JFK","FLL",13,33,1069,NA
"29",2008,7,18,"XE","ONT","SLC",-9,20,558,NA
"30",2008,7,8,"HA","HNL","LIH",-7,-5,102,NA
"31",2008,7,13,"XE","ORF","IAH",-2,-14,1201,NA
"32",2008,7,29,"YV","IAD","CLT",62,54,321,NA
"33",2008,7,5,"WN","SAN","OAK",0,-6,446,NA
"34",2008,7,21,"AA","DFW","TUS",11,6,813,NA
"35",2008,7,12,"9E","MEM","PIT",-4,-15,652,NA
"36",2008,7,31,"WN","SJC","LAX",NA,NA,308,NA
"37",2008,7,9,"MQ","ROC","ORD",-6,-6,528,NA
"38",2008,7,18,"CO","EWR","BOS",0,-2,200,NA
"39",2008,7,1,"9E","MEM","TLH",-2,-17,458,NA
"40",2008,7,29,"OO","ORD","CID",37,31,196,NA
"41",2008,7,22,"UA","SLC","DEN",-8,0,390,NA
"42",2008,7,13,"B6","SFO","JFK",51,77,2586,NA
"43",2008,7,23,"FL","DAY","BWI",-5,13,406,NA
"44",2008,7,6,"UA","DEN","SAN",60,56,853,NA
"45",2008,7,26,"MQ","GJT","DFW",8,10,772,NA
"46",2008,7,15,"MQ","JAX","RDU",-2,-6,408,NA
"47",2008,7,28,"AS","DEN","PDX",-15,-12,991,NA
"48",2008,7,15,"NW","IAD","DTW",-7,-10,383,NA
"49",2008,7,6,"YV","PHX","FLG",NA,NA,119,NA
"50",2008,7,10,"US","PDX","PHX",-1,-9,1009,NA
"51",2008,7,12,"WN","BUR","LAS",1,-8,223,NA
"52",2008,7,27,"NW","SYR","DTW",-2,19,374,NA
"53",2008,7,9,"OO","DEN","LNK",-5,-7,423,NA
"54",2008,7,27,"NW","DTW","BOS",3,53,632,NA
"55",2008,7,27,"YV","OMA","PHX",-10,-12,1037,NA
"56",2008,7,4,"NW","DFW","DTW",-4,-1,987,NA
"57",2008,7,19,"DL","BOS","ATL",17,-6,946,NA
"58",2008,7,25,"CO","ATL","EWR",NA,NA,745,NA
"59",2008,7,22,"B6","CLT","BOS",-9,-10,728,NA
