"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2008,10,27,"NW","STL","DTW",-1,10,440,NA
"2",2008,10,21,"EV","CRW","CVG",-7,-17,173,NA
"3",2008,10,24,"EV","CLE","ATL",25,34,554,NA
"4",2008,10,11,"DL","SLC","ATL",-3,18,1589,NA
"5",2008,10,30,"YV","PHX","TUS",-1,-7,110,NA
"6",2008,10,23,"DL","JFK","FLL",-1,10,1069,NA
"7",2008,10,19,"XE","IAH","IND",-8,-10,845,NA
"8",2008,10,20,"OH","MDW","ATL",11,6,590,NA
"9",2008,10,8,"OO","MKE","GRB",-10,-10,107,NA
"10",2008,10,23,"US","PHX","DCA",41,24,1979,NA
"11",2008,10,2,"AS","PHX","PDX",13,11,1009,NA
"12",2008,10,10,"UA","LAX","KOA",6,-6,2504,NA
"13",2008,10,3,"WN","BHM","JAX",51,52,365,NA
"14",2008,10,8,"NW","GRR","DTW",-9,-1,120,NA
"15",2008,10,26,"MQ","BTR","DFW",-9,-10,383,NA
"16",2008,10,20,"NW","MSP","ORD",30,40,334,NA
"17",2008,10,2,"WN","TPA","FLL",-3,-11,197,NA
"18",2008,10,27,"9E","DTW","SGF",-5,-32,635,NA
"19",2008,10,4,"WN","BWI","MCO",-1,-4,787,NA
"20",2008,10,14,"DL","ATL","RDU",-1,-9,356,NA
"21",2008,10,22,"AA","ORD","AUS",20,23,978,NA
"22",2008,10,15,"WN","MAF","HOU",-3,0,441,NA
"23",2008,10,15,"MQ","DFW","PIT",49,85,1068,NA
"24",2008,10,6,"YV","IAD","PWM",3,-7,494,NA
"25",2008,10,31,"OH","STL","JFK",-2,-2,892,NA
"26",2008,10,9,"UA","BOS","ORD",-7,-6,867,NA
"27",2008,10,22,"B6","BOS","IAD",0,-6,413,NA
"28",2008,10,22,"WN","BWI","BDL",-2,-7,283,NA
"29",2008,10,4,"CO","ORD","IAH",-5,-5,925,NA
"30",2008,10,1,"WN","HOU","MDW",1,-1,937,NA
"31",2008,10,14,"DL","ATL","RSW",-2,0,515,NA
"32",2008,10,21,"WN","MCI","BNA",-7,-3,491,NA
"33",2008,10,7,"OO","DEN","GJT",-4,1,212,NA
"34",2008,10,16,"AA","LAX","LAS",-4,-13,236,NA
"35",2008,10,8,"MQ","DFW","AEX",-3,-10,285,NA
"36",2008,10,28,"WN","FLL","BWI",4,-11,925,NA
"37",2008,10,21,"9E","MSP","DAY",-6,-4,574,NA
"38",2008,10,30,"NW","MSP","MCO",-5,-5,1310,NA
"39",2008,10,9,"UA","ORD","MCI",-4,-5,403,NA
"40",2008,10,16,"WN","PDX","DEN",0,-22,991,NA
"41",2008,10,9,"F9","PHX","DEN",9,5,602,NA
"42",2008,10,17,"EV","TLH","ATL",42,39,223,NA
"43",2008,10,25,"AA","DFW","DCA",-4,-11,1192,NA
"44",2008,10,11,"US","CLT","MYR",2,28,156,NA
"45",2008,10,11,"XE","IAH","BTR",-2,-10,253,NA
"46",2008,10,4,"EV","AVL","ATL",-6,-2,164,NA
"47",2008,10,24,"CO","IAH","SNA",6,-5,1347,NA
"48",2008,10,1,"MQ","ORD","BNA",-5,11,409,NA
"49",2008,10,4,"DL","ATL","DTW",-5,-9,594,NA
"50",2008,10,29,"CO","SAN","EWR",31,37,2425,NA
"51",2008,10,14,"FL","MCO","ATL",-1,0,403,NA
"52",2008,10,11,"AA","DFW","AUS",-3,-16,190,NA
"53",2008,10,8,"XE","IAH","CLT",-3,-9,913,NA
"54",2008,10,24,"DL","TLH","ATL",-2,6,223,NA
"55",2008,10,18,"MQ","CRP","DFW",-9,0,354,NA
"56",2008,10,22,"9E","TLH","MEM",-5,2,458,NA
"57",2008,10,27,"CO","MSY","IAH",8,12,305,NA
"58",2008,10,18,"OO","LAX","SAT",21,18,1211,NA
"59",2008,10,19,"WN","SAN","MDW",-3,-23,1728,NA
"60",2008,10,22,"WN","ISP","FLL",-4,-2,1093,NA
"61",2008,10,7,"US","LAS","PHX",-4,10,256,NA
"62",2008,10,8,"WN","BUR","SMF",1,2,358,NA
"63",2008,10,27,"CO","IAH","BWI",-1,-22,1235,NA
"64",2008,10,25,"AA","MCO","DFW",-2,1,984,NA
"65",2008,10,23,"OO","DEN","ICT",-1,18,420,NA
"66",2008,10,18,"MQ","DFW","CRP",-1,-8,354,NA
"67",2008,10,21,"AA","OMA","DFW",-5,-2,583,NA
"68",2008,10,20,"WN","BWI","SDF",-7,-16,495,NA
"69",2008,10,28,"XE","PBI","IAH",-12,-7,956,NA
"70",2008,10,23,"AA","DFW","STL",-6,1,551,NA
"71",2008,10,14,"XE","EWR","RIC",-2,-6,278,NA
"72",2008,10,5,"OO","LAX","SGU",-7,-4,348,NA
"73",2008,10,1,"XE","EWR","MSP",42,18,1008,NA
"74",2008,10,5,"EV","ATL","TYS",0,30,152,NA
"75",2008,10,3,"XE","ROC","EWR",4,28,246,NA
"76",2008,10,19,"DL","CVG","ATL",7,7,373,NA
"77",2008,10,10,"CO","IAH","SAN",3,5,1303,NA
"78",2008,10,17,"UA","ORD","MCO",-6,-11,1005,NA
"79",2008,10,31,"WN","CMH","BWI",-2,-5,336,NA
"80",2008,10,7,"US","BOS","PHX",-2,-2,2300,NA
"81",2008,10,9,"DL","SDF","ATL",-5,-6,321,NA
"82",2008,10,1,"MQ","LAX","SAN",-3,-15,109,NA
"83",2008,10,19,"US","PHX","ORD",-5,-28,1440,NA
"84",2008,10,13,"WN","RDU","DEN",0,-26,1437,NA
"85",2008,10,17,"CO","IAH","IND",9,3,845,NA
"86",2008,10,25,"AA","OKC","DFW",-7,-13,175,NA
"87",2008,10,1,"DL","GEG","SLC",-6,-6,546,NA
"88",2008,10,9,"DL","ORD","ATL",76,77,606,NA
"89",2008,10,19,"OH","JAX","LGA",30,43,834,NA
"90",2008,10,20,"MQ","STL","SGF",-11,-17,195,NA
"91",2008,10,29,"FL","ATL","IAD",-3,13,533,NA
"92",2008,10,29,"XE","IAH","MAF",0,-13,429,NA
"93",2008,10,16,"WN","BNA","TPA",27,20,612,NA
"94",2008,10,18,"WN","ELP","SAT",-1,-7,496,NA
"95",2008,10,6,"NW","FLL","DTW",4,-3,1127,NA
"96",2008,10,2,"UA","CLT","ORD",-8,-6,599,NA
"97",2008,10,24,"HA","LAS","HNL",11,-9,2762,NA
"98",2008,10,14,"DL","JAX","ATL",31,23,270,NA
"99",2008,10,27,"FL","RSW","PIT",4,-5,966,NA
"100",2008,10,21,"EV","ATL","MLU",-3,0,448,NA
"101",2008,10,24,"OO","MKE","DAY",0,3,284,NA
"102",2008,10,24,"UA","DFW","SFO",1,2,1464,NA
"103",2008,10,7,"OO","SEA","LAX",-6,1,954,NA
"104",2008,10,11,"NW","SEA","MSP",-2,-4,1399,NA
"105",2008,10,1,"MQ","CMH","BOS",-1,2,640,NA
"106",2008,10,2,"EV","CRW","CVG",-12,-24,173,NA
"107",2008,10,4,"WN","LAS","PHX",0,-12,256,NA
"108",2008,10,26,"EV","ATL","XNA",7,7,589,NA
"109",2008,10,15,"OH","IND","CVG",0,2,98,NA
"110",2008,10,16,"WN","LAS","SNA",-6,-9,226,NA
"111",2008,10,7,"MQ","CVG","ORD",78,135,264,NA
"112",2008,10,30,"FL","BOS","PHF",12,7,464,NA
"113",2008,10,29,"DL","DFW","ATL",-4,9,732,NA
"114",2008,10,30,"AS","ANC","SEA",12,16,1449,NA
"115",2008,10,23,"MQ","GRB","ORD",0,-13,174,NA
"116",2008,10,24,"NW","MSP","MKE",-2,-2,297,NA
"117",2008,10,12,"AA","DFW","RNO",12,0,1345,NA
"118",2008,10,27,"CO","IAH","BOS",0,-14,1597,NA
"119",2008,10,10,"UA","ORD","PHX",-6,-16,1440,NA
"120",2008,10,15,"B6","SAN","SEA",63,72,1050,NA
"121",2008,10,27,"DL","LGA","DCA",-1,12,214,NA
"122",2008,10,7,"WN","FLL","HOU",0,-12,957,NA
"123",2008,10,21,"WN","BUF","BWI",-1,1,281,NA
"124",2008,10,19,"YV","PHX","DRO",-3,-8,351,NA
"125",2008,10,22,"US","DCA","TPA",-16,-24,814,NA
"126",2008,10,18,"FL","TPA","ROC",-13,-13,1079,NA
"127",2008,10,10,"UA","MCO","ORD",-2,0,1005,NA
"128",2008,10,16,"9E","MEM","IAH",49,49,469,NA
"129",2008,10,30,"FL","ATL","TPA",-6,-11,406,NA
"130",2008,10,30,"NW","MCO","MSP",-5,-19,1310,NA
"131",2008,10,15,"YV","AUS","PHX",-3,-4,872,NA
"132",2008,10,1,"NW","DTW","BOS",-3,3,632,NA
"133",2008,10,14,"WN","PHX","MCO",8,7,1848,NA
"134",2008,10,11,"OO","SLC","SUN",-6,-7,223,NA
"135",2008,10,18,"HA","HNL","LIH",0,-6,102,NA
"136",2008,10,23,"DL","ATL","GPT",-1,1,352,NA
"137",2008,10,9,"WN","MDW","SAN",-1,-19,1728,NA
"138",2008,10,31,"CO","ATL","EWR",-8,-10,745,NA
"139",2008,10,17,"EV","ATL","GNV",-7,-2,300,NA
"140",2008,10,28,"NW","MSP","BZN",-7,-27,874,NA
"141",2008,10,31,"UA","ORD","LGA",6,-6,733,NA
"142",2008,10,3,"OO","SLC","FCA",-12,-8,532,NA
"143",2008,10,19,"9E","DTW","SGF",-4,-3,635,NA
"144",2008,10,11,"WN","MDW","RNO",-5,0,1680,NA
"145",2008,10,28,"MQ","DFW","MLU",-5,-1,293,NA
"146",2008,10,4,"XE","SAV","IAH",-4,12,851,NA
"147",2008,10,22,"MQ","LAX","FAT",-1,-10,209,NA
"148",2008,10,5,"WN","BWI","ABQ",33,14,1670,NA
"149",2008,10,6,"WN","CLE","BWI",1,-9,314,NA
"150",2008,10,2,"OH","LGA","CHS",56,45,641,NA
"151",2008,10,23,"OO","DEN","BFL",-3,-13,845,NA
"152",2008,10,17,"WN","BHM","HOU",-3,-10,570,NA
"153",2008,10,26,"F9","DEN","AUS",-3,-13,775,NA
"154",2008,10,15,"WN","RSW","BWI",13,11,919,NA
"155",2008,10,6,"9E","DTW","CVG",-4,-16,229,NA
"156",2008,10,20,"UA","DEN","MSP",1,-4,680,NA
"157",2008,10,6,"CO","IAH","JAX",0,3,817,NA
"158",2008,10,24,"OO","SLC","FAT",3,-3,501,NA
"159",2008,10,5,"UA","ORD","DEN",-2,-5,888,NA
"160",2008,10,29,"XE","RSW","IAH",-9,-22,861,NA
"161",2008,10,18,"CO","IAH","BWI",1,-8,1235,NA
"162",2008,10,28,"AA","SFO","ORD",-7,-17,1846,NA
"163",2008,10,7,"B6","JFK","RIC",-6,-31,288,NA
"164",2008,10,1,"WN","TUS","LAX",-5,-9,451,NA
"165",2008,10,2,"MQ","VPS","DFW",-10,-15,641,NA
"166",2008,10,8,"AA","DFW","LGA",16,2,1389,NA
"167",2008,10,20,"AA","MIA","EWR",-1,-14,1086,NA
"168",2008,10,11,"US","LGA","CLT",-7,-28,544,NA
"169",2008,10,7,"NW","CMH","DTW",-9,-31,155,NA
"170",2008,10,30,"WN","LAS","SLC",2,-12,368,NA
"171",2008,10,3,"WN","HOU","AUS",51,47,148,NA
"172",2008,10,18,"WN","LAS","BUF",1,-8,1987,NA
"173",2008,10,27,"OO","MKE","GRR",-6,-10,120,NA
"174",2008,10,11,"XE","IAH","CLT",-2,3,913,NA
"175",2008,10,31,"AA","ORD","LGA",6,19,733,NA
"176",2008,10,26,"WN","PHX","LAX",56,47,370,NA
"177",2008,10,12,"AA","AUS","DFW",-3,3,190,NA
"178",2008,10,7,"XE","MFE","IAH",-5,-2,316,NA
"179",2008,10,30,"OH","RDU","BOS",-5,4,612,NA
"180",2008,10,20,"US","DCA","CLT",13,9,331,NA
"181",2008,10,5,"FL","MCO","IND",7,1,828,NA
"182",2008,10,20,"OO","SLC","SJC",-4,-14,585,NA
"183",2008,10,15,"MQ","ORD","XNA",19,31,522,NA
"184",2008,10,20,"AA","MCI","DFW",-3,-11,460,NA
"185",2008,10,3,"EV","MEI","ATL",-1,-18,267,NA
"186",2008,10,1,"AA","ATL","DFW",-6,-14,732,NA
"187",2008,10,30,"XE","SAV","EWR",22,27,708,NA
"188",2008,10,9,"EV","ATL","PHF",-1,-11,508,NA
"189",2008,10,14,"UA","PHX","DEN",-10,-19,602,NA
"190",2008,10,17,"EV","ATL","PFN",-8,29,247,NA
"191",2008,10,19,"WN","MCO","BHM",4,2,478,NA
"192",2008,10,10,"UA","SNA","DEN",-12,-9,846,NA
"193",2008,10,2,"AA","ORD","MIA",0,-11,1197,NA
"194",2008,10,6,"AA","BOS","MIA",-3,6,1258,NA
"195",2008,10,3,"WN","OAK","MDW",2,-6,1844,NA
"196",2008,10,14,"OO","ORD","SLC",-6,-12,1249,NA
"197",2008,10,29,"F9","SMF","DEN",-1,-1,909,NA
"198",2008,10,10,"WN","PHX","BWI",1,-12,1999,NA
"199",2008,10,26,"EV","ATL","TLH",-2,21,223,NA
"200",2008,10,19,"WN","MDW","LAX",-3,-15,1751,NA
"201",2008,10,13,"UA","ORD","DEN",2,15,888,NA
"202",2008,10,21,"NW","MEM","DCA",-6,-19,762,NA
"203",2008,10,8,"OO","BNA","DEN",2,-8,1013,NA
"204",2008,10,8,"YV","MDT","CLT",-2,-6,413,NA
"205",2008,10,27,"YV","ORF","IAD",165,152,157,NA
