"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"111",2008,1,22,"US","BOS",24,67,185,NA
"112",2008,1,9,"XE","IAH",9,17,936,NA
"113",2008,1,13,"UA","SEA",5,-6,679,NA
"114",2008,1,16,"AS","LAX",0,5,954,NA
"115",2008,1,22,"WN","SAN",-4,-6,447,NA
"116",2008,1,28,"US","LGA",-6,-15,185,NA
"117",2008,1,24,"XE","LAX",-6,5,954,NA
"118",2008,1,11,"US","ANC",38,23,2551,NA
"119",2008,1,5,"UA","TPA",207,187,1012,NA
"120",2008,1,26,"AA","PHX",4,-14,1440,NA
"121",2008,1,30,"OO","SLC",4,9,298,NA
"122",2008,1,29,"US","MSY",-7,-19,651,NA
"123",2008,1,18,"AS","SNA",19,10,859,NA
"124",2008,1,29,"OH","CVG",0,-2,116,NA
"125",2008,1,20,"NW","MSP",0,-8,1399,NA
"126",2008,1,27,"EV","ROC",21,-10,749,NA
"127",2008,1,27,"WN","MDW",2,3,402,NA
"128",2008,1,31,"NW","BDL",-7,6,548,NA
"129",2008,1,13,"F9","DEN",-3,6,1703,NA
"130",2008,1,1,"US","CLT",15,-8,448,NA
"131",2008,1,14,"WN","MDW",-1,-5,405,NA
"132",2008,1,6,"MQ","LGA",62,47,185,NA
"133",2008,1,31,"AA","DFW",-3,-4,852,NA
"134",2008,1,4,"AS","LAX",4,1,954,NA
"135",2008,1,14,"9E","DTW",6,8,74,NA
"136",2008,1,2,"WN","MHT",17,5,377,NA
"137",2008,1,3,"MQ","AUS",-7,-7,189,NA
"138",2008,1,21,"MQ","LIT",37,27,552,NA
"139",2008,1,23,"YV","SBA",-10,-4,455,NA
"140",2008,1,29,"AA","PHX",NA,NA,1440,NA
"141",2008,1,13,"WN","TPA",72,83,842,NA
"142",2008,1,21,"WN","STL",15,21,342,NA
"143",2008,1,1,"UA","DEN",9,6,349,NA
"144",2008,1,23,"OO","DRO",-13,-11,251,NA
"145",2008,1,30,"DL","ATL",-4,-18,665,NA
"146",2008,1,30,"US","BUR",-9,-17,369,NA
"147",2008,1,24,"AA","LGA",-8,-15,887,NA
"148",2008,1,17,"OO","ORD",22,17,1041,NA
"149",2008,1,8,"US","PHX",-3,17,601,NA
"150",2008,1,24,"US","DEN",-8,0,602,NA
"151",2008,1,27,"UA","ROC",6,-9,528,NA
"152",2008,1,18,"CO","IAH",-1,-4,862,NA
"153",2008,1,31,"9E","MEM",51,NA,355,NA
"154",2008,1,29,"OH","GRR",-5,-1,268,NA
"155",2008,1,11,"MQ","SJC",2,2,418,NA
"156",2008,1,13,"US","DCA",93,133,759,NA
"157",2008,1,16,"WN","OAK",12,14,407,NA
"158",2008,1,25,"AA","MEM",50,53,432,NA
"159",2008,1,1,"US","PHX",0,7,507,NA
"160",2008,1,16,"NW","BIL",-7,-1,748,NA
"161",2008,1,23,"WN","SAT",4,-7,1069,NA
"162",2008,1,11,"9E","DTW",-4,-3,288,NA
"163",2008,1,8,"OO","SLC",7,4,347,NA
"164",2008,1,19,"AA","DFW",22,10,237,NA
"165",2008,1,11,"AA","PDX",-5,15,1616,NA
"166",2008,1,31,"CO","PBI",22,-9,1024,NA
"167",2008,1,3,"AA","RDU",-2,-9,1062,NA
"168",2008,1,11,"NW","MSP",-5,-10,1300,NA
"169",2008,1,3,"OO","MSN",45,34,109,NA
"170",2008,1,26,"XE","MCI",-6,-1,1092,NA
"171",2008,1,23,"9E","MSP",6,-2,221,NA
"172",2008,1,15,"US","CLT",-5,-2,329,NA
"173",2008,1,15,"DL","IAD",-8,-9,533,NA
"174",2008,1,29,"OH","SYR",0,9,527,NA
"175",2008,1,12,"DL","ATL",3,2,515,NA
"176",2008,1,22,"CO","PBI",-2,-7,956,NA
"177",2008,1,24,"WN","JAN",12,3,587,NA
"178",2008,1,30,"CO","MSY",-2,10,305,NA
"179",2008,1,23,"OH","GSP",-4,-10,610,NA
"180",2008,1,6,"AA","PHX",-3,7,868,NA
"181",2008,1,4,"WN","DAL",1,-5,248,NA
"182",2008,1,6,"WN","MDW",8,3,251,NA
"183",2008,1,29,"AA","LAX",-4,-13,2217,NA
"184",2008,1,25,"MQ","ORD",-2,-12,738,NA
"185",2008,1,21,"XE","EWR",81,86,199,NA
"186",2008,1,3,"MQ","STL",-5,-2,195,NA
"187",2008,1,8,"HA","HNL",-2,-3,163,NA
"188",2008,1,1,"MQ","MAF",-7,-15,309,NA
"189",2008,1,15,"UA","SNA",-10,-25,846,NA
"190",2008,1,2,"WN","BNA",3,-5,588,NA
"191",2008,1,22,"XE","GRR",151,137,605,NA
"192",2008,1,19,"XE","ROC",26,19,246,NA
"193",2008,1,15,"UA","DEN",2,3,967,NA
"194",2008,1,21,"XE","MKE",0,29,984,NA
"195",2008,1,15,"9E","MSP",-3,-4,703,NA
"196",2008,1,5,"MQ","VPS",-8,1,641,NA
"197",2008,1,12,"WN","BNA",-2,-38,1959,NA
"198",2008,1,28,"DL","SJU",-14,-5,1547,NA
"199",2008,1,31,"AS","SEA",41,22,1024,NA
"200",2008,1,1,"UA","OAK",-3,-5,957,NA
"201",2008,1,29,"MQ","ORD",8,-10,738,NA
"202",2008,1,25,"UA","SMF",-5,-16,909,NA
"203",2008,1,18,"CO","IAH",4,2,1222,NA
"204",2008,1,22,"AA","TPA",-2,28,869,NA
"205",2008,1,29,"YV","IAD",-5,-5,177,NA
"206",2008,1,29,"WN","HOU",29,24,1020,NA
"207",2008,1,15,"YV","DEN",-9,10,125,NA
"208",2008,1,14,"B6","OAK",-5,-11,353,NA
"209",2008,1,27,"B6","SJU",-5,18,1597,NA
"210",2008,1,14,"OO","ORD",143,136,462,NA
"211",2008,1,27,"WN","PHL",13,20,290,NA
"212",2008,1,4,"DL","DCA",-4,-25,214,NA
"213",2008,1,6,"F9","DEN",11,28,1557,NA
"214",2008,1,16,"XE","ELP",-8,-17,670,NA
"215",2008,1,7,"NW","DCA",-7,2,405,NA
"216",2008,1,4,"OO","SUN",-6,-1,223,NA
"217",2008,1,29,"WN","SAN",-3,3,304,NA
"218",2008,1,6,"CO","IAH",59,48,925,NA
"219",2008,1,5,"XE","IAH",-1,2,554,NA
"220",2008,1,13,"MQ","AMA",7,9,313,NA
"221",2008,1,23,"WN","AMA",1,0,277,NA
"222",2008,1,30,"UA","BUR",-1,25,326,NA
"223",2008,1,22,"WN","BOI",-1,-16,399,NA
"224",2008,1,23,"DL","MIA",-4,34,595,NA
"225",2008,1,15,"XE","IAH",-3,-12,190,NA
"226",2008,1,20,"DL","ATL",-4,-9,689,NA
"227",2008,1,4,"OO","SLC",9,25,501,NA
"228",2008,1,15,"US","CLT",-7,-6,428,NA
"229",2008,1,27,"CO","ATL",-5,-19,745,NA
"230",2008,1,24,"DL","FLL",0,-4,1069,NA
"231",2008,1,29,"NW","MEM",9,39,538,NA
"232",2008,1,15,"DL","MSY",0,-1,425,NA
"233",2008,1,4,"9E","MSP",49,37,783,NA
"234",2008,1,27,"EV","DHN",24,15,171,NA
"235",2008,1,31,"UA","EWR",141,150,1605,NA
"236",2008,1,7,"US","DFW",-3,3,868,NA
"237",2008,1,15,"OO","DEN",-6,-10,693,NA
"238",2008,1,18,"DL","ORD",-1,7,606,NA
"239",2008,1,20,"US","CLT",-4,-12,321,NA
"240",2008,1,10,"MQ","RDU",17,0,612,NA
"241",2008,1,16,"UA","PHX",-11,-23,651,NA
"242",2008,1,16,"OH","MDW",-5,-7,590,NA
