"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2008,6,27,"US","PBI","CLT",-4,4,590,NA
"2",2008,6,27,"US","CLT","ILM",-5,-13,185,NA
"3",2008,6,20,"UA","MCO","ORD",17,35,1005,NA
"4",2008,6,30,"DL","JAN","ATL",-3,-10,341,NA
"5",2008,6,16,"OO","BOI","SLC",-4,-5,291,NA
"6",2008,6,23,"UA","IAD","SAN",99,180,2253,NA
"7",2008,6,5,"B6","MSY","JFK",-4,-15,1182,NA
"8",2008,6,10,"WN","LAS","HOU",0,-17,1235,NA
"9",2008,6,14,"FL","BUF","MCO",4,9,1011,NA
"10",2008,6,25,"WN","SLC","MDW",5,0,1258,NA
"11",2008,6,29,"CO","EWR","JAX",5,-13,821,NA
"12",2008,6,30,"AA","DFW","SNA",8,27,1205,NA
"13",2008,6,21,"WN","RDU","MCO",5,4,534,NA
"14",2008,6,1,"OO","RDM","SLC",-10,-10,526,NA
"15",2008,6,14,"UA","LGA","DEN",NA,NA,1619,NA
"16",2008,6,24,"WN","HOU","MSY",-2,-9,303,NA
"17",2008,6,2,"NW","DTW","LGA",0,-8,501,NA
"18",2008,6,25,"WN","SEA","LAS",6,2,866,NA
"19",2008,6,6,"AA","ORD","DFW",146,143,802,NA
"20",2008,6,23,"B6","PHX","JFK",-2,-14,2153,NA
"21",2008,6,11,"DL","ATL","ORF",1,-4,516,NA
"22",2008,6,2,"OH","ATL","MDW",30,22,590,NA
"23",2008,6,7,"WN","HOU","JAX",154,164,816,NA
"24",2008,6,26,"UA","DFW","DEN",25,20,641,NA
"25",2008,6,23,"AA","MCI","DFW",5,9,460,NA
"26",2008,6,22,"WN","MCO","BWI",-4,-18,787,NA
"27",2008,6,11,"WN","BWI","BDL",-2,-11,283,NA
"28",2008,6,13,"EV","SBN","ATL",8,19,566,NA
"29",2008,6,22,"UA","PDX","SFO",-9,-22,550,NA
"30",2008,6,14,"WN","MDW","SLC",0,6,1258,NA
"31",2008,6,27,"WN","LAX","LAS",11,6,236,NA
"32",2008,6,6,"MQ","DFW","PNS",-2,-7,604,NA
"33",2008,6,9,"AA","PHX","DFW",19,53,868,NA
"34",2008,6,12,"WN","SAN","SMF",3,2,480,NA
"35",2008,6,6,"MQ","LGA","RDU",-10,-30,431,NA
"36",2008,6,8,"CO","EWR","LAX",8,12,2454,NA
"37",2008,6,14,"MQ","HSV","ORD",-8,-12,510,NA
"38",2008,6,5,"EV","TPA","PNS",-4,-14,330,NA
"39",2008,6,25,"MQ","DFW","HSV",-2,-3,603,NA
"40",2008,6,22,"DL","CVG","SLC",2,13,1449,NA
"41",2008,6,4,"CO","PDX","EWR",-7,-9,2433,NA
"42",2008,6,10,"DL","CMH","ATL",-3,-4,446,NA
"43",2008,6,23,"9E","JAN","MEM",-5,-18,189,NA
"44",2008,6,1,"CO","IAH","MSY",4,-6,305,NA
"45",2008,6,10,"OO","PHX","LAX",3,0,370,NA
"46",2008,6,4,"AA","JAX","DFW",-5,1,919,NA
"47",2008,6,22,"WN","MDW","OAK",-3,-9,1844,NA
"48",2008,6,13,"DL","GPT","ATL",-7,-12,352,NA
"49",2008,6,11,"DL","SFO","ATL",4,5,2139,NA
"50",2008,6,12,"WN","MSY","FLL",5,2,673,NA
"51",2008,6,8,"XE","CLE","MSP",7,20,622,NA
"52",2008,6,18,"AS","SEA","ANC",-2,-12,1449,NA
"53",2008,6,2,"WN","TPA","HOU",-1,-9,781,NA
"54",2008,6,15,"AA","DFW","DCA",0,5,1192,NA
"55",2008,6,1,"CO","SMF","IAH",-12,-21,1609,NA
"56",2008,6,1,"FL","MSP","ATL",-1,10,906,NA
"57",2008,6,24,"DL","ATL","SAV",-6,7,215,NA
"58",2008,6,9,"EV","ATL","CAK",13,12,528,NA
"59",2008,6,26,"WN","AUS","HOU",1,9,148,NA
"60",2008,6,25,"WN","BUR","SJC",43,35,297,NA
"61",2008,6,19,"MQ","LIT","ORD",-3,-2,552,NA
"62",2008,6,6,"DL","FLL","BOS",-5,27,1237,NA
"63",2008,6,25,"OO","SLC","PHX",0,-2,507,NA
"64",2008,6,7,"9E","LEX","DTW",8,9,296,NA
"65",2008,6,5,"OO","BHM","ORD",56,44,584,NA
"66",2008,6,11,"XE","ABQ","SMF",-6,14,866,NA
"67",2008,6,16,"CO","MSY","IAH",-7,-8,305,NA
"68",2008,6,12,"XE","EWR","STL",-2,11,872,NA
"69",2008,6,20,"XE","MSP","CLE",18,-2,622,NA
"70",2008,6,18,"DL","ATL","LAS",-5,3,1747,NA
"71",2008,6,19,"CO","EWR","BOS",33,48,200,NA
"72",2008,6,11,"AA","DFW","TPA",92,84,929,NA
"73",2008,6,27,"US","BOS","DCA",-6,-21,399,NA
"74",2008,6,27,"UA","KOA","LAX",53,35,2504,NA
"75",2008,6,26,"AA","DFW","IND",-4,1,762,NA
"76",2008,6,2,"UA","BOS","ORD",-4,-10,867,NA
