"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2007,3,29,"B6","JFK","PIT",0,3,340,NA
"2",2007,3,9,"UA","STL","DEN",5,-1,770,NA
"3",2007,3,11,"CO","IAH","SNA",5,-9,1347,NA
"4",2007,3,5,"CO","IAH","LGA",37,59,1416,NA
"5",2007,3,15,"YV","IAD","BOS",80,73,413,NA
"6",2007,3,16,"OH","RSW","CVG",21,15,879,NA
"7",2007,3,28,"CO","SEA","IAH",-5,15,1874,NA
"8",2007,3,13,"OO","DEN","RAP",0,-9,300,NA
"9",2007,3,19,"OO","MSP","ATL",18,4,906,NA
"10",2007,3,13,"FL","ATL","MDW",-5,-2,590,NA
"11",2007,3,26,"WN","MHT","BWI",-1,-2,377,NA
"12",2007,3,2,"US","LGA","CLT",23,29,544,NA
"13",2007,3,19,"WN","MDW","BUF",32,30,468,NA
"14",2007,3,7,"AQ","SMF","OGG",-10,-22,2404,NA
"15",2007,3,5,"AA","DFW","TUS",2,-16,813,NA
"16",2007,3,28,"WN","LAX","SJC",0,-1,308,NA
"17",2007,3,2,"OO","RAP","SLC",12,6,508,NA
"18",2007,3,23,"AA","MSY","DFW",5,0,448,NA
"19",2007,3,17,"WN","SMF","LAS",10,3,397,NA
"20",2007,3,20,"EV","AVP","CVG",0,19,499,NA
"21",2007,3,10,"AA","PHX","ORD",-2,5,1440,NA
"22",2007,3,15,"US","PHX","MKE",-5,-21,1460,NA
"23",2007,3,24,"WN","ONT","OAK",-5,-9,362,NA
"24",2007,3,30,"AA","MIA","LAS",-2,6,2175,NA
"25",2007,3,6,"US","SLC","PHX",6,6,507,NA
"26",2007,3,15,"XE","EWR","CLT",277,269,529,NA
"27",2007,3,14,"UA","DEN","MSY",-3,0,1062,NA
"28",2007,3,30,"NW","MCI","DTW",-3,5,629,NA
"29",2007,3,14,"AA","RIC","DFW",2,-3,1158,NA
"30",2007,3,30,"DL","ATL","DCA",-5,6,547,NA
"31",2007,3,16,"NW","MSP","AUS",6,-22,1042,NA
"32",2007,3,29,"US","LAS","RDU",16,10,2027,NA
"33",2007,3,25,"NW","MSN","DTW",-4,0,312,NA
"34",2007,3,25,"WN","BWI","RSW",0,-18,919,NA
"35",2007,3,22,"B6","JFK","LGB",6,-2,2465,NA
"36",2007,3,31,"WN","SAN","TUS",1,0,367,NA
"37",2007,3,31,"MQ","MEM","ORD",4,2,491,NA
"38",2007,3,1,"UA","DFW","DEN",-4,-4,641,NA
"39",2007,3,20,"XE","IAH","GSP",9,2,838,NA
"40",2007,3,8,"XE","JAN","IAH",-4,-13,351,NA
"41",2007,3,18,"AA","DFW","MCO",-5,-1,984,NA
"42",2007,3,31,"FL","ATL","SFO",8,-16,2139,NA
"43",2007,3,13,"WN","BHM","TPA",23,19,460,NA
"44",2007,3,7,"AA","MIA","BDL",-16,-11,1194,NA
"45",2007,3,19,"US","CLT","JAX",68,68,329,NA
"46",2007,3,30,"WN","ELP","PHX",-1,-7,347,NA
"47",2007,3,1,"NW","RSW","MSP",67,63,1416,NA
"48",2007,3,20,"UA","LAX","LAS",-3,6,236,NA
