"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2007,8,4,"9E","GRR","MSP",NA,NA,408,NA
"2",2007,8,5,"B6","JFK","PDX",-2,1,2454,NA
"3",2007,8,3,"UA","SNA","SFO",-3,18,372,NA
"4",2007,8,30,"EV","VLD","ATL",-4,3,208,NA
"5",2007,8,22,"US","BUF","CLT",-2,2,546,NA
"6",2007,8,31,"DL","ATL","TPA",75,90,406,NA
"7",2007,8,23,"XE","ABE","CLE",59,57,339,NA
"8",2007,8,20,"US","CLT","LGA",-1,-16,544,NA
"9",2007,8,25,"AS","ANC","SEA",-4,4,1449,NA
"10",2007,8,2,"MQ","ABI","DFW",55,72,158,NA
"11",2007,8,8,"OO","ORD","DAY",NA,NA,240,NA
"12",2007,8,11,"NW","DTW","SYR",-2,-2,374,NA
"13",2007,8,30,"DL","ATL","JAN",18,17,341,NA
"14",2007,8,17,"MQ","LGA","CLE",139,147,418,NA
"15",2007,8,28,"NW","MSP","MCO",32,59,1310,NA
"16",2007,8,15,"OO","CVG","ORD",-1,32,264,NA
"17",2007,8,2,"OO","ORD","CID",-4,13,196,NA
"18",2007,8,6,"US","CLT","JAX",18,9,329,NA
"19",2007,8,2,"WN","OAK","SAN",14,14,446,NA
"20",2007,8,31,"WN","TPA","PBI",0,0,174,NA
"21",2007,8,30,"MQ","ORD","MSN",-5,-2,109,NA
"22",2007,8,3,"UA","DAY","ORD",-3,-18,240,NA
"23",2007,8,26,"EV","OMA","ATL",-1,-14,821,NA
"24",2007,8,13,"9E","MSP","CLE",6,12,622,NA
"25",2007,8,4,"EV","APF","ATL",40,51,540,NA
"26",2007,8,26,"OO","ORD","MKE",-3,-10,67,NA
"27",2007,8,28,"AA","SJC","DFW",-9,-3,1439,NA
"28",2007,8,8,"AA","DFW","TPA",6,2,929,NA
"29",2007,8,19,"OH","SAT","CVG",19,22,1024,NA
"30",2007,8,7,"WN","MCO","BWI",1,-4,787,NA
"31",2007,8,6,"XE","EWR","MKE",-4,1,725,NA
"32",2007,8,7,"CO","IAH","SAT",-5,-8,191,NA
"33",2007,8,30,"OO","AUS","ATL",-1,10,813,NA
"34",2007,8,25,"WN","LAS","BUR",9,3,223,NA
"35",2007,8,15,"WN","SAN","MCI",4,-7,1333,NA
"36",2007,8,2,"DL","ATL","BOS",-1,23,946,NA
"37",2007,8,12,"CO","IAH","MSY",-1,-8,305,NA
"38",2007,8,5,"NW","MSP","MHT",-1,-14,1092,NA
"39",2007,8,11,"EV","XNA","ATL",-6,-20,589,NA
"40",2007,8,11,"UA","BOS","ORD",-6,-26,867,NA
"41",2007,8,13,"XE","PHL","CLE",-2,-5,363,NA
"42",2007,8,15,"EV","ATL","PFN",23,2,247,NA
"43",2007,8,7,"AS","FAI","ANC",-5,1,261,NA
"44",2007,8,21,"YV","MCI","IAD",-8,-16,926,NA
"45",2007,8,18,"F9","DEN","BNA",14,14,1013,NA
"46",2007,8,11,"AA","DFW","TUL",-9,-10,237,NA
"47",2007,8,5,"AA","STL","AUS",-1,-15,722,NA
"48",2007,8,3,"WN","LAS","SNA",3,32,226,NA
"49",2007,8,8,"DL","ATL","SEA",13,19,2182,NA
"50",2007,8,16,"DL","BNA","ATL",13,6,214,NA
"51",2007,8,5,"OO","EUG","SFO",65,80,451,NA
"52",2007,8,15,"UA","PDX","LAX",136,138,834,NA
"53",2007,8,25,"AA","STL","LAX",-3,-10,1593,NA
"54",2007,8,4,"YV","ORD","MCI",-8,-25,403,NA
"55",2007,8,24,"XE","ONT","OMA",-10,-22,1286,NA
"56",2007,8,27,"MQ","GSP","ORD",40,10,577,NA
"57",2007,8,8,"US","DCA","MHT",-3,-2,407,NA
"58",2007,8,15,"OO","TUL","SLC",0,-7,926,NA
"59",2007,8,22,"EV","HSV","ATL",0,-6,151,NA
