"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2007,10,9,"MQ","SYR","DFW",16,10,1337,NA
"2",2007,10,1,"NW","BNA","DTW",-3,-4,457,NA
"3",2007,10,19,"CO","EWR","DCA",18,35,199,NA
"4",2007,10,20,"YV","KOA","HNL",-12,-7,163,NA
"5",2007,10,18,"MQ","RDU","CMH",-5,-15,361,NA
"6",2007,10,31,"9E","CID","MSP",-9,-19,221,NA
"7",2007,10,3,"WN","FLL","BWI",-4,-15,925,NA
"8",2007,10,12,"MQ","RIC","ORD",-3,-9,642,NA
"9",2007,10,9,"AS","SEA","JNU",1,-17,909,NA
"10",2007,10,29,"US","PVD","PHL",-13,-23,238,NA
"11",2007,10,26,"DL","MCO","SLC",3,-21,1929,NA
"12",2007,10,10,"AA","DCA","ORD",51,59,612,NA
"13",2007,10,1,"XE","XNA","IAH",-2,-10,438,NA
"14",2007,10,28,"US","CLT","SAV",0,-1,213,NA
"15",2007,10,10,"OO","FSD","DEN",72,68,483,NA
"16",2007,10,20,"FL","PWM","MCO",-8,-3,1214,NA
"17",2007,10,6,"OO","SLC","TUS",16,17,601,NA
"18",2007,10,28,"YV","FSD","ORD",-10,-9,462,NA
"19",2007,10,3,"AA","MFE","DFW",-6,-3,468,NA
"20",2007,10,7,"NW","DTW","MDW",-6,-9,229,NA
"21",2007,10,20,"WN","MCO","MDW",2,2,989,NA
"22",2007,10,10,"AA","DFW","ABQ",-1,1,569,NA
"23",2007,10,8,"AA","DFW","IAD",-4,6,1172,NA
"24",2007,10,24,"WN","LAS","RNO",-2,3,345,NA
"25",2007,10,17,"NW","DFW","DTW",12,9,987,NA
"26",2007,10,24,"9E","XNA","MEM",-7,8,258,NA
"27",2007,10,26,"CO","DFW","IAH",-4,5,224,NA
"28",2007,10,30,"OO","ORD","SAV",32,28,773,NA
"29",2007,10,4,"UA","EWR","DEN",-6,-29,1605,NA
"30",2007,10,22,"YV","IAD","GSP",-2,-1,383,NA
"31",2007,10,24,"XE","CLE","MIA",-4,5,1080,NA
"32",2007,10,11,"NW","MKE","MEM",-3,21,556,NA
"33",2007,10,2,"NW","MCI","DTW",21,37,629,NA
"34",2007,10,29,"FL","ATL","PHF",39,50,508,NA
"35",2007,10,30,"WN","RSW","MDW",-3,-19,1105,NA
"36",2007,10,13,"US","OMA","PHX",3,13,1037,NA
"37",2007,10,26,"WN","RDU","MDW",31,11,632,NA
"38",2007,10,25,"OH","JAX","CVG",0,-18,614,NA
"39",2007,10,24,"AA","DFW","BHM",-5,1,597,NA
"40",2007,10,11,"AA","ORD","LGA",NA,NA,733,NA
"41",2007,10,15,"NW","DTW","DFW",5,48,987,NA
"42",2007,10,17,"CO","AUS","IAH",-5,2,140,NA
"43",2007,10,30,"WN","HOU","LAS",-3,-10,1235,NA
"44",2007,10,1,"US","ORD","PHX",35,26,1440,NA
"45",2007,10,24,"CO","IAH","EWR",-3,-7,1400,NA
"46",2007,10,10,"F9","DEN","SLC",2,-2,390,NA
"47",2007,10,30,"US","CLT","DCA",-3,-3,331,NA
"48",2007,10,26,"OO","MKE","PHL",30,71,690,NA
"49",2007,10,19,"EV","ATL","CHA",15,10,106,NA
"50",2007,10,30,"US","DEN","CLT",44,40,1338,NA
"51",2007,10,5,"EV","HSV","ATL",0,-7,151,NA
"52",2007,10,6,"WN","PVD","PHL",61,69,238,NA
"53",2007,10,24,"WN","LAS","OAK",14,10,407,NA
"54",2007,10,9,"NW","MSP","SEA",9,34,1399,NA
"55",2007,10,11,"YV","IAD","BHM",-4,-13,638,NA
"56",2007,10,3,"DL","BOS","LGA",-2,-3,185,NA
"57",2007,10,17,"WN","PDX","OAK",0,-12,543,NA
"58",2007,10,4,"WN","OAK","LAX",57,54,337,NA
"59",2007,10,9,"9E","MEM","CMH",-5,-13,518,NA
"60",2007,10,30,"YV","IAD","DTW",79,67,383,NA
"61",2007,10,10,"UA","ORD","DCA",-6,-13,612,NA
"62",2007,10,9,"OO","DEN","PSP",-1,-6,776,NA
"63",2007,10,20,"FL","BWI","ATL",6,-7,576,NA
"64",2007,10,14,"WN","SEA","SLC",28,20,689,NA
"65",2007,10,30,"OO","PHL","MKE",-10,-6,690,NA
"66",2007,10,16,"CO","IAH","MSY",-3,-5,305,NA
"67",2007,10,18,"AA","BOS","DFW",28,27,1562,NA
"68",2007,10,13,"WN","BWI","BNA",29,15,588,NA
"69",2007,10,7,"FL","ATL","HOU",-2,-23,696,NA
"70",2007,10,28,"NW","SAT","MSP",-10,-13,1097,NA
"71",2007,10,16,"WN","LAX","MDW",2,-15,1751,NA
"72",2007,10,10,"AA","MSP","DFW",-6,-17,852,NA
"73",2007,10,1,"AA","DFW","LAS",-3,-8,1055,NA
"74",2007,10,17,"WN","HOU","ELP",38,38,677,NA
"75",2007,10,25,"MQ","LEX","DFW",1,-10,785,NA
"76",2007,10,3,"AA","DFW","ABQ",-8,-14,569,NA
"77",2007,10,3,"MQ","LIT","DFW",5,12,304,NA
"78",2007,10,30,"XE","STL","EWR",-10,-54,872,NA
"79",2007,10,1,"DL","LGA","ATL",1,-1,761,NA
"80",2007,10,6,"MQ","DFW","PNS",5,19,604,NA
"81",2007,10,10,"XE","JAX","MSY",0,-2,513,NA
"82",2007,10,21,"FL","ATL","MLI",23,30,633,NA
"83",2007,10,4,"AA","DFW","BUR",-3,1,1231,NA
"84",2007,10,11,"CO","ATL","IAH",-4,-27,689,NA
"85",2007,10,9,"WN","SFO","SAN",1,-10,447,NA
"86",2007,10,12,"9E","MSP","DAY",-1,1,574,NA
"87",2007,10,24,"9E","IAH","MEM",-5,-13,469,NA
"88",2007,10,19,"OH","AVL","CVG",2,8,275,NA
"89",2007,10,6,"UA","MSP","DEN",-4,-6,680,NA
"90",2007,10,8,"CO","IAH","SFO",-2,9,1635,NA
"91",2007,10,29,"US","CLT","SAV",-4,-11,213,NA
"92",2007,10,13,"FL","ICT","ATL",-5,-3,781,NA
"93",2007,10,9,"YV","ORD","GSO",52,42,590,NA
"94",2007,10,3,"NW","LAS","MSP",-10,-36,1300,NA
"95",2007,10,19,"XE","IAH","DAL",-8,-9,217,NA
"96",2007,10,11,"DL","IND","ATL",3,4,432,NA
"97",2007,10,6,"9E","CLT","MEM",60,42,512,NA
"98",2007,10,29,"DL","CHS","ATL",-2,3,259,NA
"99",2007,10,18,"WN","BNA","MSY",38,38,471,NA
"100",2007,10,29,"WN","ABQ","PHX",-6,-6,328,NA
"101",2007,10,20,"AA","LAX","ORD",48,39,1745,NA
"102",2007,10,29,"XE","IAH","RIC",2,-10,1157,NA
"103",2007,10,17,"9E","CHS","MEM",-8,-17,589,NA
"104",2007,10,17,"AA","DFW","PSP",-1,9,1126,NA
"105",2007,10,1,"WN","PHX","SAN",-1,-6,304,NA
"106",2007,10,2,"MQ","ORD","XNA",15,8,522,NA
"107",2007,10,18,"OO","HPN","ORD",NA,NA,738,NA
"108",2007,10,30,"AA","IAH","MIA",-4,-12,964,NA
"109",2007,10,13,"OO","MRY","DEN",-1,24,960,NA
"110",2007,10,27,"MQ","DFW","GRK",-3,-7,134,NA
"111",2007,10,29,"CO","EWR","MYR",-4,-8,550,NA
"112",2007,10,2,"AQ","OGG","HNL",-5,-6,100,NA
"113",2007,10,16,"AA","BOS","MIA",6,-5,1258,NA
"114",2007,10,7,"OH","TYS","CVG",67,55,226,NA
"115",2007,10,31,"UA","DEN","BWI",-2,-13,1491,NA
"116",2007,10,26,"NW","DTW","IND",0,0,231,NA
"117",2007,10,12,"WN","BNA","BHM",8,9,177,NA
"118",2007,10,11,"YV","AUS","IAD",0,9,1297,NA
"119",2007,10,6,"CO","EWR","SFO",2,0,2565,NA
"120",2007,10,3,"WN","LAS","PHX",-5,-4,256,NA
"121",2007,10,15,"YV","PHX","GJT",49,55,438,NA
"122",2007,10,27,"DL","BNA","ATL",-7,-13,214,NA
"123",2007,10,20,"XE","IAH","TLH",1,-12,658,NA
"124",2007,10,6,"OH","GSO","LGA",16,35,461,NA
"125",2007,10,18,"OO","MRY","SFO",-7,-8,77,NA
"126",2007,10,20,"B6","LAS","IAD",1,-3,2066,NA
"127",2007,10,4,"OO","FCA","SLC",11,26,532,NA
"128",2007,10,15,"XE","LAX","SLC",8,0,590,NA
"129",2007,10,23,"FL","IND","ATL",6,14,432,NA
"130",2007,10,22,"WN","LAS","HOU",3,5,1235,NA
"131",2007,10,6,"DL","LAS","ATL",1,3,1747,NA
