"YEAR","MONTH","CARRIER","EMPTOTAL",
2009,1,"09Q",114,
2009,1,"16",964,
2009,1,"3Z",301,
2009,1,"5X",6108,
2009,1,"5Y",1201,
2009,1,"8C",413,
2009,1,"9E",4204,
2009,1,"9L",1324,
2009,1,"9S",541,
2009,1,"AA",74904,
2009,1,"ABX",3582,
2009,1,"AJQ",243,
2009,1,"AMQ",33,
2009,1,"KH",392,
2009,1,"AS",10112,
2009,1,"B6",12014,
2009,1,"BNQ",5,
2009,1,"CO",37949,
2009,1,"CP",805,
2009,1,"CS",1242,
2009,1,"DL",47809,
2009,1,"ER",894,
2009,1,"EV",4410,
2009,1,"EZ",464,
2009,1,"F9",4913,
2009,1,"FCQ",61,
2009,1,"FL",7956,
2009,1,"FX",143538,
2009,1,"G4",1567,
2009,1,"G7",450,
2009,1,"GFQ",65,
2009,1,"GL",426,
2009,1,"HA",3704,
2009,1,"JW",521,
2009,1,"KAQ",735,
2009,1,"KLQ",48,
2009,1,"L2",161,
2009,1,"L4",371,
2009,1,"M6",544,
2009,1,"MQ",9992,
2009,1,"MRQ",98,
2009,1,"NA",826,
2009,1,"NC",215,
2009,1,"NK",2107,
2009,1,"NW",29084,
2009,1,"OH",5667,
2009,1,"OO",9922,
2009,1,"OW",1906,
2009,1,"PCQ",430,
2009,1,"PFQ",43,
2009,1,"PO",367,
2009,1,"PRQ",55,
2009,1,"PT",222,
2009,1,"QX",3698,
2009,1,"RD",573,
2009,1,"RW",1432,
2009,1,"S5",1255,
2009,1,"SI",26,
2009,1,"SLQ",125,
2009,1,"SY",767,
2009,1,"U5",543,
2009,1,"U7",191,
2009,1,"UA",48500,
2009,1,"US",33641,
2009,1,"VCQ",0,
2009,1,"VX",1345,
2009,1,"WE",619,
2009,1,"WI",69,
2009,1,"WN",35879,
2009,1,"WO",1506,
2009,1,"X9",1055,
2009,1,"XE",5409,
2009,1,"XJ",4454,
2009,1,"XP",102,
2009,1,"YV",2906,
2009,1,"YX",1149,
2009,1,"ZW",2845,
2009,2,"09Q",116,
2009,2,"16",982,
2009,2,"3Z",301,
2009,2,"5X",6091,
2009,2,"5Y",1161,
2009,2,"8C",410,
2009,2,"9E",4189,
2009,2,"9L",1325,
2009,2,"9S",540,
2009,2,"AA",74891,
2009,2,"ABX",3095,
2009,2,"AJQ",238,
2009,2,"AMQ",34,
2009,2,"KH",391,
2009,2,"AS",10090,
2009,2,"B6",12030,
2009,2,"BNQ",5,
2009,2,"CO",38240,
2009,2,"CP",804,
2009,2,"CS",1243,
2009,2,"DL",48199,
2009,2,"ER",894,
2009,2,"EV",4300,
2009,2,"EZ",451,
2009,2,"F9",4897,
2009,2,"FCQ",61,
2009,2,"FL",8182,
2009,2,"FX",142888,
2009,2,"G4",1619,
2009,2,"G7",480,
2009,2,"GFQ",65,
2009,2,"GL",430,
2009,2,"HA",3703,
2009,2,"JW",545,
2009,2,"KAQ",743,
2009,2,"KLQ",48,
2009,2,"L2",167,
2009,2,"L4",390,
2009,2,"M6",545,
2009,2,"MQ",9984,
2009,2,"MRQ",99,
2009,2,"NA",817,
2009,2,"NC",215,
2009,2,"NK",2024,
2009,2,"NW",29138,
2009,2,"OH",5737,
2009,2,"OO",9954,
2009,2,"OW",1920,
2009,2,"PCQ",430,
2009,2,"PFQ",43,
2009,2,"PO",345,
2009,2,"PRQ",55,
2009,2,"PT",216,
2009,2,"QX",3707,
2009,2,"RD",553,
2009,2,"RW",1496,
2009,2,"S5",1341,
2009,2,"SI",29,
2009,2,"SLQ",118,
2009,2,"SY",768,
2009,2,"U5",587,
2009,2,"U7",191,
2009,2,"UA",48497,
2009,2,"US",33597,
2009,2,"VCQ",0,
2009,2,"VX",1393,
2009,2,"WE",629,
2009,2,"WI",68,
2009,2,"WN",35898,
2009,2,"WO",1500,
2009,2,"X9",1045,
2009,2,"XE",5408,
2009,2,"XJ",4515,
2009,2,"XP",97,
2009,2,"YV",2877,
2009,2,"YX",1090,
2009,2,"ZW",2847,
2009,3,"09Q",110,
2009,3,"16",980,
2009,3,"3Z",307,
2009,3,"5X",6051,
2009,3,"5Y",1093,
2009,3,"8C",406,
2009,3,"9E",4045,
2009,3,"9L",1321,
2009,3,"9S",540,
2009,3,"AA",74890,
2009,3,"ABX",2912,
2009,3,"AJQ",233,
2009,3,"AMQ",33,
2009,3,"KH",389,
2009,3,"AS",10045,
2009,3,"B6",12022,
2009,3,"BNQ",5,
2009,3,"CO",38492,
2009,3,"CP",808,
2009,3,"CS",1241,
2009,3,"DL",48433,
2009,3,"ER",885,
2009,3,"EV",4248,
2009,3,"EZ",449,
2009,3,"F9",4885,
2009,3,"FCQ",68,
2009,3,"FL",8188,
2009,3,"FX",142218,
2009,3,"G4",1638,
2009,3,"G7",501,
2009,3,"GFQ",65,
2009,3,"GL",420,
2009,3,"HA",3717,
2009,3,"JW",505,
2009,3,"KAQ",742,
2009,3,"KLQ",50,
2009,3,"L2",167,
2009,3,"L4",398,
2009,3,"M6",538,
2009,3,"MQ",9965,
2009,3,"MRQ",107,
2009,3,"NA",814,
2009,3,"NC",203,
2009,3,"NK",2054,
2009,3,"NW",29084,
2009,3,"OH",5697,
2009,3,"OO",9887,
2009,3,"OW",1954,
2009,3,"PCQ",422,
2009,3,"PFQ",43,
2009,3,"PO",342,
2009,3,"PRQ",55,
2009,3,"PT",212,
2009,3,"QX",3675,
2009,3,"RD",554,
2009,3,"RW",1496,
2009,3,"S5",1341,
2009,3,"SI",29,
2009,3,"SLQ",110,
2009,3,"SY",766,
2009,3,"U5",587,
2009,3,"U7",199,
2009,3,"UA",48479,
2009,3,"US",33577,
2009,3,"VCQ",0,
2009,3,"VX",1446,
2009,3,"WE",642,
2009,3,"WI",65,
2009,3,"WN",35869,
2009,3,"WO",1549,
2009,3,"X9",1051,
2009,3,"XE",5446,
2009,3,"XJ",4547,
2009,3,"XP",120,
2009,3,"YV",2864,
2009,3,"YX",1647,
2009,3,"ZW",2835,
2009,4,"09Q",110,
2009,4,"16",981,
2009,4,"3Z",300,
2009,4,"5X",6037,
2009,4,"5Y",1112,
2009,4,"8C",377,
2009,4,"9E",4045,
2009,4,"9L",1321,
2009,4,"9S",460,
2009,4,"AA",74886,
2009,4,"ABX",2680,
2009,4,"AJQ",233,
2009,4,"AMQ",34,
2009,4,"KH",385,
2009,4,"AS",10067,
2009,4,"B6",12332,
2009,4,"BNQ",5,
2009,4,"CO",38438,
2009,4,"CP",805,
2009,4,"CS",1242,
2009,4,"DL",48253,
2009,4,"ER",878,
2009,4,"EV",4102,
2009,4,"EZ",459,
2009,4,"F9",4908,
2009,4,"FCQ",68,
2009,4,"FL",8208,
2009,4,"FX",141448,
2009,4,"G4",1672,
2009,4,"G7",478,
2009,4,"GFQ",62,
2009,4,"GL",414,
2009,4,"HA",3789,
2009,4,"JW",479,
2009,4,"KAQ",742,
2009,4,"KLQ",51,
2009,4,"L2",166,
2009,4,"L4",406,
2009,4,"M6",544,
2009,4,"MQ",9946,
2009,4,"MRQ",105,
2009,4,"NA",817,
2009,4,"NC",202,
2009,4,"NK",2044,
2009,4,"NW",29849,
2009,4,"OH",5624,
2009,4,"OO",9678,
2009,4,"OW",1966,
2009,4,"PCQ",440,
2009,4,"PFQ",44,
2009,4,"PO",303,
2009,4,"PRQ",54,
2009,4,"PT",202,
2009,4,"QX",3640,
2009,4,"RD",460,
2009,4,"RW",1449,
2009,4,"S5",1299,
2009,4,"SI",32,
2009,4,"SLQ",110,
2009,4,"SY",742,
2009,4,"U5",451,
2009,4,"U7",199,
2009,4,"UA",48478,
2009,4,"US",33568,
2009,4,"VCQ",0,
2009,4,"VX",1481,
2009,4,"WE",628,
2009,4,"WI",66,
2009,4,"WN",35801,
2009,4,"WO",1547,
2009,4,"X9",1001,
2009,4,"XE",5417,
2009,4,"XJ",4524,
2009,4,"XP",104,
2009,4,"YV",2821,
2009,4,"YX",1654,
2009,4,"ZW",2861,
2009,5,"09Q",106,
2009,5,"16",993,
2009,5,"3Z",306,
2009,5,"5X",6009,
2009,5,"5Y",1085,
2009,5,"8C",373,
2009,5,"9E",3946,
2009,5,"9L",1325,
2009,5,"9S",466,
2009,5,"AA",73332,
2009,5,"ABX",2423,
2009,5,"AJQ",234,
2009,5,"AMQ",33,
2009,5,"KH",379,
2009,5,"AS",10060,
2009,5,"B6",12339,
2009,5,"BNQ",5,
2009,5,"CO",38490,
2009,5,"CP",825,
2009,5,"CS",1239,
2009,5,"DL",48507,
2009,5,"ER",845,
2009,5,"EV",3999,
2009,5,"EZ",468,
2009,5,"F9",4919,
2009,5,"FCQ",68,
2009,5,"FL",8435,
2009,5,"FX",140447,
2009,5,"G4",1682,
2009,5,"G7",476,
2009,5,"GFQ",61,
2009,5,"GL",394,
2009,5,"HA",3736,
2009,5,"JW",482,
2009,5,"KAQ",740,
2009,5,"KLQ",51,
2009,5,"L2",167,
2009,5,"L4",412,
2009,5,"M6",547,
2009,5,"MQ",9977,
2009,5,"MRQ",80,
2009,5,"NA",801,
2009,5,"NC",206,
2009,5,"NK",2092,
2009,5,"NW",26281,
2009,5,"OH",5643,
2009,5,"OO",9475,
2009,5,"OW",1988,
2009,5,"PCQ",440,
2009,5,"PFQ",43,
2009,5,"PO",322,
2009,5,"PRQ",54,
2009,5,"PT",205,
2009,5,"QX",3587,
2009,5,"RD",423,
2009,5,"RW",1478,
2009,5,"S5",1359,
2009,5,"SI",32,
2009,5,"SLQ",110,
2009,5,"SY",720,
2009,5,"U5",445,
2009,5,"U7",199,
2009,5,"UA",48352,
2009,5,"US",33481,
2009,5,"VCQ",0,
2009,5,"VX",1477,
2009,5,"WE",636,
2009,5,"WI",46,
2009,5,"WN",35772,
2009,5,"WO",1553,
2009,5,"X9",996,
2009,5,"XE",5499,
2009,5,"XJ",4675,
2009,5,"XP",102,
2009,5,"YV",2817,
2009,5,"YX",1634,
2009,5,"ZW",2857,
2009,6,"09Q",99,
2009,6,"16",988,
2009,6,"3Z",296,
2009,6,"5X",5991,
2009,6,"5Y",1075,
2009,6,"8C",383,
2009,6,"9E",3946,
2009,6,"9L",1334,
2009,6,"9S",457,
2009,6,"AA",73146,
2009,6,"ABX",2067,
2009,6,"AJQ",229,
2009,6,"AMQ",28,
2009,6,"KH",379,
2009,6,"AS",10095,
2009,6,"B6",12349,
2009,6,"BNQ",5,
2009,6,"CO",38604,
2009,6,"CP",844,
2009,6,"CS",1239,
2009,6,"DL",48685,
2009,6,"ER",854,
2009,6,"EV",3901,
2009,6,"EZ",475,
2009,6,"F9",4880,
2009,6,"FCQ",66,
2009,6,"FL",8516,
2009,6,"FX",139753,
2009,6,"G4",1708,
2009,6,"G7",472,
2009,6,"GFQ",61,
2009,6,"GL",385,
2009,6,"HA",3755,
2009,6,"JW",501,
2009,6,"KAQ",758,
2009,6,"KLQ",50,
2009,6,"L2",166,
2009,6,"L4",418,
2009,6,"M6",553,
2009,6,"MQ",9869,
2009,6,"MRQ",80,
2009,6,"NA",797,
2009,6,"NC",207,
2009,6,"NK",2056,
2009,6,"NW",27289,
2009,6,"OH",5878,
2009,6,"OO",9458,
2009,6,"OW",1990,
2009,6,"PCQ",447,
2009,6,"PFQ",43,
2009,6,"PO",319,
2009,6,"PRQ",54,
2009,6,"PT",215,
2009,6,"QX",3553,
2009,6,"RD",427,
2009,6,"RW",1515,
2009,6,"S5",1381,
2009,6,"SI",32,
2009,6,"SLQ",120,
2009,6,"SY",718,
2009,6,"U5",440,
2009,6,"U7",193,
2009,6,"UA",47902,
2009,6,"US",33375,
2009,6,"VCQ",0,
2009,6,"VX",1507,
2009,6,"WE",655,
2009,6,"WI",38,
2009,6,"WN",35654,
2009,6,"WO",1490,
2009,6,"X9",991,
2009,6,"XE",5467,
2009,6,"XJ",4717,
2009,6,"XP",100,
2009,6,"YV",2748,
2009,6,"YX",1612,
2009,6,"ZW",2806,
2009,7,"09Q",96,
2009,7,"0WQ",161,
2009,7,"16",986,
2009,7,"3Z",290,
2009,7,"5X",5941,
2009,7,"5Y",1035,
2009,7,"8C",396,
2009,7,"9E",3867,
2009,7,"9L",1347,
2009,7,"9S",459,
2009,7,"AA",72922,
2009,7,"ABX",2059,
2009,7,"AJQ",230,
2009,7,"AMQ",28,
2009,7,"KH",342,
2009,7,"AS",10053,
2009,7,"B6",12403,
2009,7,"BNQ",5,
2009,7,"CO",37994,
2009,7,"CP",845,
2009,7,"CS",1256,
2009,7,"DL",49206,
2009,7,"ER",814,
2009,7,"EV",3778,
2009,7,"EZ",473,
2009,7,"F9",4841,
2009,7,"FCQ",71,
2009,7,"FL",8429,
2009,7,"FX",139585,
2009,7,"G4",1716,
2009,7,"G7",509,
2009,7,"GFQ",61,
2009,7,"GL",403,
2009,7,"HA",3780,
2009,7,"JW",492,
2009,7,"KAQ",755,
2009,7,"KLQ",49,
2009,7,"L2",165,
2009,7,"L4",429,
2009,7,"M6",548,
2009,7,"MQ",9822,
2009,7,"MRQ",79,
2009,7,"NA",797,
2009,7,"NC",207,
2009,7,"NK",2054,
2009,7,"NW",26710,
2009,7,"OH",5945,
2009,7,"OO",9475,
2009,7,"OW",1984,
2009,7,"PCQ",447,
2009,7,"PFQ",43,
2009,7,"PO",313,
2009,7,"PRQ",55,
2009,7,"PT",216,
2009,7,"QX",3541,
2009,7,"RD",432,
2009,7,"RW",1575,
2009,7,"S5",1434,
2009,7,"SI",32,
2009,7,"SLQ",120,
2009,7,"SY",716,
2009,7,"U5",439,
2009,7,"U7",200,
2009,7,"UA",48006,
2009,7,"US",33462,
2009,7,"VCQ",0,
2009,7,"VX",1502,
2009,7,"WE",626,
2009,7,"WI",33,
2009,7,"WN",35281,
2009,7,"WO",1496,
2009,7,"X9",981,
2009,7,"XE",5482,
2009,7,"XJ",4677,
2009,7,"XP",98,
2009,7,"YV",2711,
2009,7,"YX",1592,
2009,7,"ZW",2801,
2009,8,"09Q",99,
2009,8,"0WQ",162,
2009,8,"16",994,
2009,8,"3Z",287,
2009,8,"5X",5897,
2009,8,"5Y",1029,
2009,8,"8C",398,
2009,8,"9E",3930,
2009,8,"9L",1343,
2009,8,"9S",465,
2009,8,"AA",72651,
2009,8,"ABX",1171,
2009,8,"AJQ",223,
2009,8,"AMQ",28,
2009,8,"KH",346,
2009,8,"AS",9985,
2009,8,"B6",12583,
2009,8,"BNQ",5,
2009,8,"CO",36836,
2009,8,"CP",858,
2009,8,"CS",1229,
2009,8,"DL",49047,
2009,8,"ER",806,
2009,8,"EV",3704,
2009,8,"EZ",467,
2009,8,"F9",4825,
2009,8,"FCQ",71,
2009,8,"FL",8335,
2009,8,"FX",139349,
2009,8,"G4",1724,
2009,8,"G7",504,
2009,8,"GFQ",61,
2009,8,"GL",408,
2009,8,"HA",3759,
2009,8,"JW",510,
2009,8,"KAQ",752,
2009,8,"KLQ",55,
2009,8,"L2",160,
2009,8,"L4",427,
2009,8,"M6",556,
2009,8,"MQ",9802,
2009,8,"MRQ",79,
2009,8,"NA",788,
2009,8,"NC",197,
2009,8,"NK",2037,
2009,8,"NW",26576,
2009,8,"OH",5876,
2009,8,"OO",9419,
2009,8,"OW",1998,
2009,8,"PFQ",43,
2009,8,"PO",312,
2009,8,"PRQ",55,
2009,8,"PT",221,
2009,8,"QX",3513,
2009,8,"RD",441,
2009,8,"RW",1614,
2009,8,"S5",1423,
2009,8,"SI",33,
2009,8,"SLQ",120,
2009,8,"SY",712,
2009,8,"U5",433,
2009,8,"U7",208,
2009,8,"UA",48283,
2009,8,"US",32895,
2009,8,"VCQ",0,
2009,8,"VX",1506,
2009,8,"WE",537,
2009,8,"WI",39,
2009,8,"WN",34996,
2009,8,"WO",1408,
2009,8,"X9",969,
2009,8,"XE",5401,
2009,8,"XJ",4624,
2009,8,"XP",101,
2009,8,"YV",2675,
2009,8,"YX",1544,
2009,8,"ZW",2821,
2009,9,"09Q",105,
2009,9,"0WQ",170,
2009,9,"16",998,
2009,9,"3Z",285,
2009,9,"5X",5861,
2009,9,"5Y",1034,
2009,9,"8C",414,
2009,9,"9E",3903,
2009,9,"9L",1326,
2009,9,"9S",491,
2009,9,"AA",72521,
2009,9,"ABX",1007,
2009,9,"AJQ",234,
2009,9,"AMQ",28,
2009,9,"KH",340,
2009,9,"AS",9965,
2009,9,"B6",12440,
2009,9,"BNQ",5,
2009,9,"CO",36382,
2009,9,"CP",879,
2009,9,"CS",1209,
2009,9,"DL",48432,
2009,9,"ER",781,
2009,9,"EV",3704,
2009,9,"EZ",469,
2009,9,"F9",4769,
2009,9,"FCQ",76,
2009,9,"FL",8029,
2009,9,"FX",139181,
2009,9,"G4",1749,
2009,9,"G7",541,
2009,9,"GFQ",64,
2009,9,"GL",416,
2009,9,"HA",3780,
2009,9,"JW",512,
2009,9,"KAQ",761,
2009,9,"KLQ",55,
2009,9,"L2",156,
2009,9,"L4",409,
2009,9,"M6",566,
2009,9,"MQ",9808,
2009,9,"MRQ",75,
2009,9,"NA",776,
2009,9,"NC",189,
2009,9,"NK",2015,
2009,9,"NW",25681,
2009,9,"OH",5706,
2009,9,"OO",9455,
2009,9,"OW",1996,
2009,9,"PFQ",43,
2009,9,"PO",315,
2009,9,"PRQ",55,
2009,9,"PT",220,
2009,9,"QX",3524,
2009,9,"RD",431,
2009,9,"RW",1694,
2009,9,"S5",1425,
2009,9,"SI",32,
2009,9,"SLQ",120,
2009,9,"SY",729,
2009,9,"U5",380,
2009,9,"U7",214,
2009,9,"UA",47041,
2009,9,"US",32394,
2009,9,"VCQ",0,
2009,9,"VX",1492,
2009,9,"WE",522,
2009,9,"WI",30,
2009,9,"WN",35134,
2009,9,"WO",1408,
2009,9,"X9",971,
2009,9,"XE",5399,
2009,9,"XJ",4484,
2009,9,"XP",98,
2009,9,"YV",2628,
2009,9,"YX",1515,
2009,9,"ZW",2775,
2009,10,"09Q",110,
2009,10,"0WQ",174,
2009,10,"16",971,
2009,10,"3Z",277,
2009,10,"5X",5860,
2009,10,"5Y",1051,
2009,10,"8C",422,
2009,10,"9E",3902,
2009,10,"9L",1315,
2009,10,"9S",511,
2009,10,"AA",71777,
2009,10,"ABX",1001,
2009,10,"AJQ",244,
2009,10,"AMQ",28,
2009,10,"KH",317,
2009,10,"AS",9943,
2009,10,"B6",12456,
2009,10,"BNQ",5,
2009,10,"CO",36338,
2009,10,"CP",881,
2009,10,"CS",1209,
2009,10,"DL",53323,
2009,10,"ER",599,
2009,10,"EV",3695,
2009,10,"EZ",465,
2009,10,"F9",4774,
2009,10,"FCQ",78,
2009,10,"FL",8068,
2009,10,"FX",139427,
2009,10,"G4",1745,
2009,10,"G7",537,
2009,10,"GFQ",65,
2009,10,"GL",413,
2009,10,"HA",3790,
2009,10,"JW",509,
2009,10,"KAQ",767,
2009,10,"KLQ",55,
2009,10,"L2",157,
2009,10,"L3",413,
2009,10,"M6",538,
2009,10,"MQ",9835,
2009,10,"MRQ",76,
2009,10,"NA",777,
2009,10,"NC",189,
2009,10,"NK",2028,
2009,10,"NW",27701,
2009,10,"OH",2725,
2009,10,"OO",9441,
2009,10,"OW",2028,
2009,10,"PFQ",43,
2009,10,"PO",315,
2009,10,"PRQ",52,
2009,10,"PT",215,
2009,10,"QX",3527,
2009,10,"RD",458,
2009,10,"S5",1354,
2009,10,"SI",26,
2009,10,"SLQ",120,
2009,10,"SY",748,
2009,10,"U5",376,
2009,10,"U7",242,
2009,10,"UA",46697,
2009,10,"US",32102,
2009,10,"VCQ",0,
2009,10,"VX",1484,
2009,10,"WE",520,
2009,10,"WI",49,
2009,10,"WN",35076,
2009,10,"WO",1442,
2009,10,"X9",996,
2009,10,"XE",5414,
2009,10,"XJ",2357,
2009,10,"XP",113,
2009,10,"YV",2604,
2009,10,"YX",870,
2009,10,"ZW",2768,
2009,11,"09Q",114,
2009,11,"0WQ",163,
2009,11,"16",968,
2009,11,"3Z",279,
2009,11,"5X",5859,
2009,11,"5Y",1051,
2009,11,"8C",430,
2009,11,"9E",3873,
2009,11,"9L",1309,
2009,11,"9S",545,
2009,11,"AA",71346,
2009,11,"ABX",996,
2009,11,"AJQ",241,
2009,11,"AMQ",27,
2009,11,"KH",314,
2009,11,"AS",9918,
2009,11,"B6",12510,
2009,11,"BNQ",5,
2009,11,"CO",36152,
2009,11,"CP",884,
2009,11,"CS",1210,
2009,11,"DL",53322,
2009,11,"ER",600,
2009,11,"EV",3665,
2009,11,"EZ",470,
2009,11,"F9",4848,
2009,11,"FCQ",77,
2009,11,"FL",8124,
2009,11,"FX",140103,
2009,11,"G4",1769,
2009,11,"G7",560,
2009,11,"GFQ",64,
2009,11,"GL",414,
2009,11,"HA",3821,
2009,11,"JW",499,
2009,11,"KAQ",777,
2009,11,"KLQ",47,
2009,11,"L2",157,
2009,11,"L3",419,
2009,11,"M6",539,
2009,11,"MQ",9870,
2009,11,"MRQ",76,
2009,11,"NC",186,
