"YEAR","MONTH","CARRIER","EMPTOTAL",
2008,3,"XE",7908,
2008,3,"XJ",3584,
2008,3,"XP",141,
2008,3,"YV",2954,
2008,3,"YX",2397,
2008,3,"ZW",2386,
2008,4,"09Q",120,
2008,4,"16",1155,
2008,4,"3Z",304,
2008,4,"5X",6126,
2008,4,"5Y",1233,
2008,4,"8C",384,
2008,4,"9E",4063,
2008,4,"9L",1358,
2008,4,"9S",521,
2008,4,"AA",78443,
2008,4,"ABX",10462,
2008,4,"AJQ",252,
2008,4,"AMQ",36,
2008,4,"AS",10637,
2008,4,"B6",12154,
2008,4,"BNQ",4,
2008,4,"CO",40339,
2008,4,"CP",500,
2008,4,"CS",1278,
2008,4,"DL",51573,
2008,4,"E0",93,
2008,4,"E9",13,
2008,4,"ER",957,
2008,4,"EV",4611,
2008,4,"EZ",481,
2008,4,"F2",15,
2008,4,"F9",5611,
2008,4,"FCQ",61,
2008,4,"FE",145,
2008,4,"FL",8571,
2008,4,"FX",143761,
2008,4,"G4",1505,
2008,4,"G7",359,
2008,4,"GFQ",73,
2008,4,"GL",390,
2008,4,"GR",383,
2008,4,"HA",3458,
2008,4,"JW",438,
2008,4,"KAQ",989,
2008,4,"KLQ",43,
2008,4,"L2",161,
2008,4,"L4",363,
2008,4,"M6",631,
2008,4,"MG",578,
2008,4,"MQ",10465,
2008,4,"MRQ",98,
2008,4,"NA",865,
2008,4,"NC",222,
2008,4,"NK",2561,
2008,4,"NW",30683,
2008,4,"OH",6432,
2008,4,"OO",10565,
2008,4,"OW",1984,
2008,4,"PCQ",431,
2008,4,"PFQ",44,
2008,4,"PO",441,
2008,4,"PRQ",75,
2008,4,"PT",219,
2008,4,"QX",4091,
2008,4,"RD",630,
2008,4,"RW",1489,
2008,4,"S5",1175,
2008,4,"SI",26,
2008,4,"SLQ",124,
2008,4,"SY",932,
2008,4,"U5",675,
2008,4,"U7",396,
2008,4,"UA",55527,
2008,4,"US",35847,
2008,4,"VCQ",0,
2008,4,"VX",820,
2008,4,"WE",653,
2008,4,"WI",225,
2008,4,"WN",34384,
2008,4,"WO",1277,
2008,4,"X9",997,
2008,4,"XE",7839,
2008,4,"XJ",3698,
2008,4,"XP",131,
2008,4,"YV",2944,
2008,4,"YX",2367,
2008,4,"ZW",2944,
2008,5,"09Q",122,
2008,5,"16",1141,
2008,5,"3Z",302,
2008,5,"5X",6110,
2008,5,"5Y",1229,
2008,5,"8C",399,
2008,5,"9E",4094,
2008,5,"9L",1408,
2008,5,"9S",532,
2008,5,"AA",78634,
2008,5,"ABX",10197,
2008,5,"AJQ",253,
2008,5,"AMQ",35,
2008,5,"KH",397,
2008,5,"AS",10670,
2008,5,"B6",12110,
2008,5,"BNQ",4,
