"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,10,6,"SEA","ANC",-14,-7,1449,NA
"2",2009,10,25,"ORD","SDF",-3,-5,286,NA
"3",2009,10,16,"EWR","IND",NA,NA,644,NA
"4",2009,10,9,"TPA","FNT",-2,-12,1036,NA
"5",2009,10,17,"PHL","PBI",10,26,951,NA
"6",2009,10,14,"ONT","SMF",-5,-8,390,NA
"7",2009,10,11,"BNA","BWI",0,-13,588,NA
"8",2009,10,8,"KOA","HNL",2,1,163,NA
"9",2009,10,4,"JFK","RIC",0,-10,288,NA
"10",2009,10,18,"DFW","VPS",0,-6,641,NA
"11",2009,10,3,"SAN","PHX",22,2,304,NA
"12",2009,10,9,"ORD","OKC",-1,15,693,NA
"13",2009,10,8,"SLC","RNO",32,31,422,NA
"14",2009,10,14,"CVG","TPA",11,9,773,NA
"15",2009,10,15,"RDU","LGA",141,142,431,NA
"16",2009,10,20,"DAL","AUS",-1,-2,189,NA
"17",2009,10,30,"DCA","BOS",0,-4,399,NA
"18",2009,10,11,"CID","DFW",0,2,685,NA
"19",2009,10,11,"IAH","MEM",-6,-13,469,NA
"20",2009,10,2,"MGM","DFW",-4,-11,622,NA
"21",2009,10,25,"ABQ","SEA",-3,2,1180,NA
"22",2009,10,20,"DEN","PHX",-10,-11,602,NA
"23",2009,10,29,"JFK","MCO",-2,-4,944,NA
"24",2009,10,11,"AUS","IAH",-4,-4,140,NA
"25",2009,10,28,"ATL","SAV",-1,3,215,NA
"26",2009,10,16,"CLE","DFW",0,12,1021,NA
"27",2009,10,19,"TUL","DFW",-7,-25,237,NA
"28",2009,10,1,"ORD","FAR",55,62,557,NA
"29",2009,10,7,"ORD","DFW",-2,5,802,NA
"30",2009,10,29,"EWR","IND",5,16,644,NA
"31",2009,10,6,"LGA","MCI",-10,15,1107,NA
"32",2009,10,13,"EWR","ATL",-9,-25,745,NA
"33",2009,10,2,"IAD","ATL",9,10,533,NA
"34",2009,10,15,"DFW","CRP",27,27,354,NA
"35",2009,10,30,"CPR","SLC",-5,1,320,NA
"36",2009,10,29,"DFW","CMI",65,53,693,NA
"37",2009,10,18,"ILM","ATL",-8,-15,377,NA
"38",2009,10,17,"JAX","DFW",-11,-9,919,NA
"39",2009,10,27,"DTW","IAH",-6,25,1076,NA
"40",2009,10,30,"DCA","LGA",-6,-22,214,NA
"41",2009,10,13,"GRB","ORD",-14,-13,174,NA
"42",2009,10,8,"SJU","MIA",-1,1,1045,NA
"43",2009,10,30,"CLE","MDW",1,0,307,NA
"44",2009,10,4,"RSW","JFK",-12,-18,1074,NA
"45",2009,10,11,"GRR","ORD",-1,-13,137,NA
"46",2009,10,8,"FAT","LAS",-3,2,258,NA
"47",2009,10,8,"LAS","SNA",3,4,226,NA
"48",2009,10,12,"MSP","DEN",6,49,680,NA
"49",2009,10,30,"SAT","DFW",59,50,247,NA
"50",2009,10,7,"BWI","BDL",2,-4,283,NA
"51",2009,10,23,"OAK","SEA",19,28,671,NA
"52",2009,10,5,"ATL","BUF",16,10,712,NA
"53",2009,10,12,"BNA","BHM",11,9,177,NA
"54",2009,10,4,"ORD","SEA",-5,-26,1721,NA
"55",2009,10,9,"MRY","LAX",-5,-10,267,NA
"56",2009,10,8,"CLT","PIT",-5,-20,366,NA
"57",2009,10,20,"IAH","ONT",-5,-2,1334,NA
"58",2009,10,6,"IND","PHX",-7,25,1489,NA
"59",2009,10,30,"IAH","CVG",-7,-11,871,NA
"60",2009,10,25,"ORF","ORD",-2,-17,717,NA
"61",2009,10,8,"SLC","SMF",-3,4,532,NA
"62",2009,10,17,"LGB","SEA",1,-13,965,NA
"63",2009,10,25,"ORD","ABE",-9,-2,654,NA
"64",2009,10,8,"BOS","BWI",8,-1,370,NA
"65",2009,10,5,"ATL","CAE",-5,-19,191,NA
"66",2009,10,8,"LAS","CLT",3,20,1916,NA
"67",2009,10,16,"DTW","DEN",-6,-2,1123,NA
"68",2009,10,26,"CHS","MEM",-7,-15,589,NA
"69",2009,10,28,"ANC","SEA",34,8,1449,NA
"70",2009,10,8,"DEN","GJT",27,31,212,NA
"71",2009,10,15,"BFL","DEN",NA,NA,845,NA
"72",2009,10,18,"LAX","EWR",-1,1,2454,NA
"73",2009,10,4,"IAH","ORF",18,26,1201,NA
"74",2009,10,31,"PSP","SLC",-6,-14,541,NA
"75",2009,10,11,"DEN","GJT",23,17,212,NA
"76",2009,10,18,"BWI","LGA",0,-12,185,NA
"77",2009,10,28,"DCA","BOS",-5,32,399,NA
"78",2009,10,22,"DTW","ROA",-4,-5,382,NA
"79",2009,10,11,"MSP","MEM",19,17,700,NA
"80",2009,10,26,"DFW","ICT",-2,-17,328,NA
"81",2009,10,26,"CLE","MHT",83,80,544,NA
"82",2009,10,31,"SAN","SLC",-6,-9,626,NA
"83",2009,10,30,"PDX","SMF",0,-11,479,NA
"84",2009,10,30,"MSP","MCI",NA,NA,393,NA
"85",2009,10,30,"JFK","MSP",94,71,1028,NA
"86",2009,10,5,"ALB","MSP",9,28,979,NA
"87",2009,10,31,"DFW","SAV",4,7,925,NA
"88",2009,10,12,"SBA","SLC",-4,-5,615,NA
"89",2009,10,28,"LGB","JFK",12,11,2465,NA
"90",2009,10,11,"PHX","ABQ",61,52,328,NA
"91",2009,10,31,"ATL","MSP",-5,-35,906,NA
"92",2009,10,5,"ATL","BWI",3,-13,576,NA
"93",2009,10,12,"IAH","LRD",59,50,301,NA
"94",2009,10,12,"SDF","ORD",-10,-12,286,NA
"95",2009,10,6,"ATW","ORD",50,70,160,NA
"96",2009,10,10,"MSP","DEN",-2,48,680,NA
"97",2009,10,1,"PHL","PBI",-1,-22,951,NA
"98",2009,10,8,"TUL","DEN",88,98,541,NA
"99",2009,10,7,"FNT","ORD",-12,-14,223,NA
"100",2009,10,9,"XNA","ATL",-1,32,589,NA
"101",2009,10,24,"ORD","ABE",54,50,654,NA
"102",2009,10,5,"LAX","OAK",-2,-10,337,NA
"103",2009,10,16,"BNA","DEN",11,9,1013,NA
"104",2009,10,25,"ATL","DCA",-4,-21,547,NA
"105",2009,10,2,"DTW","SWF",1,1,479,NA
"106",2009,10,13,"HSV","ATL",-8,-12,151,NA
"107",2009,10,31,"ATL","SLC",-6,-4,1589,NA
"108",2009,10,27,"ORD","SFO",-4,-7,1846,NA
"109",2009,10,20,"IAH","RDU",-2,-6,1043,NA
"110",2009,10,16,"BDL","RDU",37,48,532,NA
"111",2009,10,24,"ATL","BOS",3,-6,946,NA
"112",2009,10,7,"SMF","LAS",1,-3,397,NA
"113",2009,10,30,"MCO","BWI",3,-4,787,NA
"114",2009,10,23,"RDU","BOS",-4,23,612,NA
"115",2009,10,10,"SHV","MEM",-5,-10,285,NA
