"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,3,22,"SFO","MSP",33,25,1589,NA
"2",2009,3,2,"MSP","TVC",-1,-16,375,NA
"3",2009,3,26,"DAL","ELP",52,49,562,NA
"4",2009,3,16,"EWN","ATL",24,54,433,NA
"5",2009,3,5,"DFW","LBB",-1,-2,282,NA
"6",2009,3,19,"SFO","BOS",-1,11,2704,NA
"7",2009,3,14,"PBI","ATL",131,170,545,NA
"8",2009,3,31,"IAH","MCI",0,5,643,NA
"9",2009,3,17,"PVD","PHL",-5,-30,238,NA
"10",2009,3,30,"PHX","SAN",31,39,304,NA
"11",2009,3,5,"IAH","DFW",-4,-10,224,NA
"12",2009,3,13,"DEN","FLL",-2,-1,1703,NA
"13",2009,3,21,"EWR","FLL",-8,-15,1065,NA
"14",2009,3,24,"GSO","ATL",4,29,306,NA
"15",2009,3,27,"LAS","PDX",-11,-8,762,NA
"16",2009,3,15,"ATL","DCA",4,-6,547,NA
"17",2009,3,17,"PIT","TPA",2,-13,873,NA
"18",2009,3,8,"LAS","PHX",18,22,256,NA
"19",2009,3,21,"ORD","LIT",-3,-20,552,NA
"20",2009,3,19,"BOS","RSW",-3,4,1249,NA
"21",2009,3,9,"FLL","PHL",25,22,992,NA
"22",2009,3,29,"PFN","ATL",-4,14,247,NA
"23",2009,3,1,"ATL","ILM",NA,NA,377,NA
"24",2009,3,24,"DEN","GJT",-5,-8,212,NA
"25",2009,3,14,"MIA","DCA",35,25,920,NA
"26",2009,3,20,"EWR","TPA",-3,5,998,NA
"27",2009,3,18,"SJC","LAX",-5,-8,308,NA
"28",2009,3,9,"ATL","IAH",3,-16,689,NA
"29",2009,3,13,"ATL","ORD",137,111,606,NA
"30",2009,3,1,"PHX","LAX",-5,-4,370,NA
"31",2009,3,19,"PHL","MIA",4,3,1013,NA
"32",2009,3,22,"ATL","MGM",54,57,147,NA
"33",2009,3,26,"DTW","CLT",-9,-4,500,NA
"34",2009,3,10,"ICT","IAH",-10,-10,542,NA
"35",2009,3,31,"DFW","PBI",-8,-7,1103,NA
"36",2009,3,7,"PDX","SFO",-3,4,550,NA
"37",2009,3,30,"IAD","MCO",-2,-6,758,NA
"38",2009,3,27,"SNA","PHX",-6,0,338,NA
"39",2009,3,19,"SNA","ORD",-2,-4,1726,NA
"40",2009,3,3,"OGG","HNL",-5,-8,100,NA
"41",2009,3,2,"ATL","ICT",-1,0,781,NA
"42",2009,3,17,"DTW","MSP",-1,3,528,NA
"43",2009,3,4,"JFK","DTW",-12,-21,508,NA
"44",2009,3,3,"OAK","PDX",-1,-21,543,NA
"45",2009,3,22,"SEA","LAS",-5,11,866,NA
"46",2009,3,3,"DCA","JAN",0,22,860,NA
"47",2009,3,7,"PHX","ATL",-6,-16,1587,NA
"48",2009,3,3,"MDW","IAD",-2,-17,577,NA
"49",2009,3,14,"MSP","BOS",-4,11,1124,NA
"50",2009,3,24,"JAN","ATL",-7,24,341,NA
"51",2009,3,31,"ATL","MIA",14,6,595,NA
"52",2009,3,26,"DAL","SAT",54,47,248,NA
"53",2009,3,19,"SMF","ACV",-7,-15,207,NA
"54",2009,3,13,"LAS","SLC",7,-2,368,NA
"55",2009,3,10,"PHX","DTW",-2,-11,1671,NA
"56",2009,3,6,"DFW","MFE",-8,-17,468,NA
"57",2009,3,4,"CVG","BOS",0,7,752,NA
"58",2009,3,27,"DAL","MCI",119,113,461,NA
"59",2009,3,16,"TPA","SJU",-4,2,1237,NA
"60",2009,3,21,"PSP","LAS",-6,0,173,NA
"61",2009,3,11,"PHL","PHX",16,35,2075,NA
"62",2009,3,4,"PIA","DFW",-5,-7,673,NA
"63",2009,3,20,"SAT","PHX",0,23,843,NA
"64",2009,3,21,"LAS","LAX",19,5,236,NA
"65",2009,3,25,"ANC","ORD",-10,-2,2846,NA
"66",2009,3,7,"MEM","TLH",79,68,458,NA
"67",2009,3,25,"AUS","DEN",-5,43,775,NA
