"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,1,22,"OGG","HNL",46,53,100,NA
"2",2009,1,16,"DEN","BWI",0,-5,1491,NA
"3",2009,1,27,"PHL","MSP",-1,32,980,NA
"4",2009,1,8,"CLE","STL",1,-1,487,NA
"5",2009,1,6,"HNL","SFO",-5,3,2399,NA
"6",2009,1,19,"LGA","MIA",14,18,1097,NA
"7",2009,1,10,"LIH","HNL",-4,-3,102,NA
"8",2009,1,21,"ILM","ATL",-7,-13,377,NA
"9",2009,1,30,"CMH","LGA",25,13,478,NA
"10",2009,1,19,"CLE","MIA",15,24,1080,NA
"11",2009,1,26,"ABQ","DEN",-4,-16,349,NA
"12",2009,1,31,"IAH","MCO",1,-8,853,NA
"13",2009,1,11,"EGE","DEN",-13,-14,120,NA
"14",2009,1,2,"BOS","DTW",15,2,632,NA
"15",2009,1,30,"SLC","LAS",20,16,368,NA
"16",2009,1,12,"ORD","SGF",33,41,438,NA
"17",2009,1,15,"ATL","DCA",1,-5,547,NA
"18",2009,1,4,"RDU","JFK",-6,-1,426,NA
"19",2009,1,17,"DEN","SJC",25,-4,949,NA
"20",2009,1,6,"LAS","ELP",4,-7,584,NA
"21",2009,1,4,"DEN","BNA",12,-3,1013,NA
"22",2009,1,22,"DAL","MSY",2,-8,437,NA
"23",2009,1,3,"MCO","ORD",-9,-1,1005,NA
"24",2009,1,26,"STL","HOU",37,39,687,NA
"25",2009,1,1,"SAT","DAL",-2,-3,248,NA
"26",2009,1,12,"AMA","IAH",-10,-18,519,NA
"27",2009,1,18,"DFW","CRP",0,-10,354,NA
"28",2009,1,1,"IAH","LAX",19,-6,1379,NA
"29",2009,1,25,"ORD","BDL",3,-18,783,NA
"30",2009,1,23,"PHL","BOS",NA,NA,280,NA
"31",2009,1,10,"SLC","DEN",-3,-7,390,NA
"32",2009,1,2,"ATL","LAS",35,38,1747,NA
"33",2009,1,20,"FLL","BWI",-5,-19,925,NA
"34",2009,1,14,"SDF","ORD",NA,NA,286,NA
"35",2009,1,16,"ONT","SJC",NA,NA,334,NA
"36",2009,1,26,"OAK","MDW",9,-16,1844,NA
"37",2009,1,21,"ANC","SEA",1,-10,1449,NA
"38",2009,1,18,"IAH","LFT",44,43,201,NA
"39",2009,1,18,"SFO","SAN",-5,-5,447,NA
"40",2009,1,4,"SEA","ANC",169,250,1449,NA
"41",2009,1,20,"SFO","DTW",-8,13,2079,NA
"42",2009,1,21,"MCO","MSP",-7,-9,1310,NA
"43",2009,1,16,"PHX","SBP",-4,-9,509,NA
"44",2009,1,13,"SLC","TUS",-6,-14,601,NA
"45",2009,1,7,"ATL","MCO",0,-4,403,NA
"46",2009,1,12,"CDC","SLC",-6,-1,221,NA
"47",2009,1,8,"ABQ","OAK",-3,-17,889,NA
"48",2009,1,19,"MDW","ATL",-1,-2,590,NA
"49",2009,1,7,"BOS","JFK",425,440,187,NA
"50",2009,1,21,"MDW","BNA",-1,-17,395,NA
"51",2009,1,26,"PIA","ORD",-8,-20,130,NA
"52",2009,1,10,"DEN","DFW",-4,8,641,NA
"53",2009,1,31,"MCO","ORD",-1,-6,1005,NA
"54",2009,1,10,"CLT","BOS",31,45,728,NA
"55",2009,1,30,"LGB","SMF",-2,-11,387,NA
"56",2009,1,20,"IAH","DEN",-7,-17,862,NA
"57",2009,1,16,"TUS","DFW",-4,0,813,NA
"58",2009,1,28,"JAN","DFW",75,72,408,NA
"59",2009,1,18,"LAX","PDX",1,-23,834,NA
"60",2009,1,5,"BOI","SLC",20,24,291,NA
"61",2009,1,31,"CMH","TPA",-1,-31,829,NA
"62",2009,1,6,"PHX","BFL",-6,-10,425,NA
"63",2009,1,3,"LAS","MSP",-6,-26,1300,NA
"64",2009,1,26,"DLH","DTW",-5,-25,541,NA
"65",2009,1,25,"ATL","IND",64,60,432,NA
"66",2009,1,24,"IAH","LAS",-7,-1,1222,NA
"67",2009,1,12,"DFW","MSN",-2,-2,821,NA
"68",2009,1,24,"IAH","BNA",3,33,657,NA
"69",2009,1,1,"SFO","ORD",4,-16,1846,NA
