"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,2,23,"RIC","ATL",-4,-14,481,NA
"2",2009,2,2,"CVG","RDU",4,13,390,NA
"3",2009,2,6,"PHL","FLL",-7,-15,992,NA
"4",2009,2,27,"ATL","SDF",-2,-7,321,NA
"5",2009,2,12,"ATL","JFK",-1,-2,760,NA
"6",2009,2,12,"SLC","TWF",2,14,175,NA
"7",2009,2,20,"PHF","ATL",-6,13,508,NA
"8",2009,2,11,"CMH","BWI",-6,-8,336,NA
"9",2009,2,19,"LAX","IAH",-8,-30,1379,NA
"10",2009,2,19,"SNA","DEN",19,19,846,NA
"11",2009,2,5,"OAK","PDX",-3,-15,543,NA
"12",2009,2,7,"MDW","RDU",-1,-9,632,NA
"13",2009,2,6,"BOI","RNO",0,-6,335,NA
"14",2009,2,27,"LAX","FAT",15,10,209,NA
"15",2009,2,16,"DEN","LAS",-6,0,629,NA
"16",2009,2,9,"ATL","SAN",-2,-1,1891,NA
"17",2009,2,7,"PHX","LAS",-5,-19,256,NA
"18",2009,2,22,"SLC","SMF",-3,-4,532,NA
"19",2009,2,4,"ORD","ATL",-8,-34,606,NA
"20",2009,2,14,"CVG","DFW",-7,-14,812,NA
"21",2009,2,24,"DEN","PIA",-7,-20,793,NA
"22",2009,2,7,"MKE","PHX",-9,30,1460,NA
"23",2009,2,14,"ATL","DTW",-2,-11,594,NA
"24",2009,2,26,"BHM","ATL",-5,-4,134,NA
"25",2009,2,27,"STL","CMH",-3,-7,410,NA
"26",2009,2,4,"FAR","DEN",-7,-12,627,NA
"27",2009,2,7,"ATL","TUL",-6,-1,674,NA
"28",2009,2,8,"LGA","RIC",-10,-23,292,NA
"29",2009,2,14,"SAN","HOU",10,-17,1312,NA
"30",2009,2,8,"TUL","ORD",-7,-17,585,NA
"31",2009,2,17,"IND","BOS",7,-12,817,NA
"32",2009,2,4,"ATL","TYS",-2,10,152,NA
"33",2009,2,16,"EWR","PBI",17,-6,1024,NA
"34",2009,2,3,"SFO","BUR",18,20,326,NA
"35",2009,2,28,"SLC","CVG",-1,7,1449,NA
"36",2009,2,19,"LGA","CHS",0,-7,641,NA
"37",2009,2,19,"PBI","HPN",-3,-14,1057,NA
"38",2009,2,20,"CVG","OKC",0,-3,756,NA
"39",2009,2,9,"BGR","JFK",-9,-30,382,NA
"40",2009,2,18,"BNA","ORD",-8,-22,409,NA
"41",2009,2,20,"PHL","ORD",24,4,678,NA
"42",2009,2,27,"ABQ","PHX",3,3,328,NA
"43",2009,2,25,"PBI","IAH",-10,-26,956,NA
"44",2009,2,10,"EWR","IAH",-3,3,1400,NA
"45",2009,2,16,"ATL","MIA",2,-2,595,NA
"46",2009,2,19,"SAT","DEN",28,26,794,NA
"47",2009,2,15,"ORD","DFW",23,8,802,NA
"48",2009,2,11,"JFK","PWM",-6,-28,274,NA
"49",2009,2,5,"ATL","SJU",-5,-16,1547,NA
"50",2009,2,6,"ISP","BWI",8,-4,220,NA
"51",2009,2,16,"ATL","PDX",3,3,2172,NA
"52",2009,2,8,"OMA","CVG",-10,-19,614,NA
"53",2009,2,26,"JAX","ATL",19,27,270,NA
"54",2009,2,2,"CHO","ATL",4,29,457,NA
"55",2009,2,24,"LGA","IAH",-2,-4,1416,NA
"56",2009,2,23,"SAT","ORD",-20,-25,1041,NA
"57",2009,2,19,"FLL","ATL",-5,-9,581,NA
"58",2009,2,5,"ORD","DFW",-4,-12,802,NA
"59",2009,2,13,"PHX","FAT",9,12,493,NA
"60",2009,2,10,"SJU","CLT",-9,-12,1474,NA
"61",2009,2,1,"BWI","BHM",-3,-19,682,NA
"62",2009,2,20,"FLL","TPA",-5,-9,197,NA
"63",2009,2,25,"FLL","MDW",0,-12,1166,NA
"64",2009,2,10,"IAH","CRP",2,5,201,NA
"65",2009,2,23,"LAX","SAN",10,5,109,NA
"66",2009,2,19,"DFW","CID",-6,2,685,NA
"67",2009,2,6,"MEM","SAT",-7,-13,625,NA
"68",2009,2,6,"IAD","LAS",-4,-18,2066,NA
"69",2009,2,23,"ATL","EWR",92,98,745,NA
"70",2009,2,24,"DEN","SGF",41,31,637,NA
"71",2009,2,10,"LGA","DCA",-8,-21,214,NA
"72",2009,2,9,"DEN","SFO",53,31,967,NA
"73",2009,2,23,"ORD","CLT",-4,-18,599,NA
"74",2009,2,28,"SLC","DCA",-1,-6,1851,NA
"75",2009,2,15,"DEN","ABQ",0,-7,349,NA
"76",2009,2,19,"BOS","CMH",-5,-13,640,NA
"77",2009,2,9,"SNA","PDX",-12,-4,859,NA
"78",2009,2,18,"DFW","DEN",-5,2,641,NA
"79",2009,2,27,"LGA","PIT",-11,-26,335,NA
"80",2009,2,12,"SAN","OAK",14,10,446,NA
"81",2009,2,25,"LAX","JFK",-5,-35,2475,NA
"82",2009,2,23,"PHX","JFK",1,16,2153,NA
"83",2009,2,9,"DAY","DTW",-6,3,166,NA
"84",2009,2,19,"ORD","BWI",-2,-7,622,NA
"85",2009,2,20,"PHX","MDW",0,-6,1444,NA
"86",2009,2,14,"CMH","MCO",-10,-11,802,NA
"87",2009,2,15,"CLT","RSW",-9,-14,600,NA
"88",2009,2,17,"SEA","SLC",-7,-13,689,NA
"89",2009,2,21,"CLT","SJU",10,2,1474,NA
"90",2009,2,2,"EWR","DTW",-6,-15,487,NA
"91",2009,2,26,"BUR","SEA",17,19,937,NA
"92",2009,2,16,"CLT","MSP",-5,3,930,NA
