"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,8,26,"BOS","BWI",-5,-9,370,NA
"2",2009,8,27,"BWI","FLL",8,-4,925,NA
"3",2009,8,21,"DTW","JAX",-4,16,814,NA
"4",2009,8,31,"HOU","DAL",0,-10,239,NA
"5",2009,8,2,"ATL","JAX",-2,0,270,NA
"6",2009,8,14,"JNU","SEA",27,21,909,NA
"7",2009,8,5,"ORD","PIT",0,-8,412,NA
"8",2009,8,16,"BWI","BDL",2,-4,283,NA
"9",2009,8,4,"DFW","TYS",NA,NA,772,NA
"10",2009,8,18,"ORD","ORF",34,32,717,NA
"11",2009,8,8,"SLC","DFW",56,48,988,NA
"12",2009,8,13,"ORD","CLT",-3,9,599,NA
"13",2009,8,4,"BWI","ALB",-2,-2,288,NA
"14",2009,8,21,"DFW","PHL",76,57,1302,NA
"15",2009,8,20,"ATL","MOB",47,73,302,NA
"16",2009,8,13,"ORD","LAS",0,-2,1515,NA
"17",2009,8,12,"ORD","XNA",68,64,522,NA
"18",2009,8,26,"BOS","ORD",-8,-5,867,NA
"19",2009,8,31,"ATL","BUF",-4,-17,712,NA
"20",2009,8,27,"SAN","SLC",-2,4,626,NA
"21",2009,8,5,"PHX","BFL",52,45,425,NA
"22",2009,8,21,"ORD","MEM",0,-7,491,NA
"23",2009,8,7,"IAH","LCH",-5,-1,127,NA
"24",2009,8,19,"SFO","ORD",0,-8,1846,NA
"25",2009,8,21,"PHL","MIA",41,11,1013,NA
"26",2009,8,3,"LAS","ELP",10,-7,584,NA
"27",2009,8,4,"DFW","MIA",2,-4,1121,NA
"28",2009,8,31,"JFK","ROC",7,7,264,NA
"29",2009,8,9,"SFO","ORD",11,14,1846,NA
"30",2009,8,2,"SAN","DFW",0,-10,1171,NA
"31",2009,8,10,"ORD","BOS",48,55,867,NA
"32",2009,8,1,"AVL","ATL",4,1,164,NA
"33",2009,8,22,"CLT","LGA",-1,-19,544,NA
"34",2009,8,10,"LAS","DFW",0,-15,1055,NA
"35",2009,8,29,"MDT","MCO",-9,-16,851,NA
"36",2009,8,22,"ORD","BNA",-4,6,409,NA
"37",2009,8,15,"MSP","STL",-4,0,449,NA
"38",2009,8,20,"SAN","OAK",-4,-19,446,NA
"39",2009,8,30,"IND","ATL",161,155,432,NA
"40",2009,8,18,"DFW","ORD",13,-11,802,NA
"41",2009,8,26,"MLI","ATL",-1,19,633,NA
"42",2009,8,26,"IAH","DEN",-3,5,862,NA
"43",2009,8,17,"ORD","LGA",84,82,733,NA
"44",2009,8,2,"VLD","ATL",17,24,208,NA
"45",2009,8,20,"BOS","BWI",-6,-12,370,NA
"46",2009,8,4,"LAX","SFO",0,-12,337,NA
"47",2009,8,15,"SFO","MFR",-8,-11,329,NA
"48",2009,8,14,"KOA","HNL",-7,2,163,NA
"49",2009,8,5,"SLC","SFO",-5,-4,599,NA
"50",2009,8,22,"DFW","MLU",19,10,293,NA
"51",2009,8,17,"DEN","ANC",21,57,2405,NA
"52",2009,8,5,"SFO","EUG",56,59,451,NA
"53",2009,8,4,"MCO","SAT",-2,1,1040,NA
"54",2009,8,21,"IAH","DFW",60,69,224,NA
"55",2009,8,3,"LAX","IAH",1,-15,1379,NA
"56",2009,8,2,"ATL","ABQ",148,153,1269,NA
"57",2009,8,18,"BWI","ALB",34,35,288,NA
"58",2009,8,31,"LAX","LAS",0,-8,236,NA
"59",2009,8,15,"DEN","IAH",5,-3,862,NA
"60",2009,8,7,"OAK","HNL",-9,-2,2409,NA
"61",2009,8,17,"PHL","DFW",-10,-32,1302,NA
"62",2009,8,24,"MEM","GPT",-3,-6,324,NA
"63",2009,8,13,"IAH","BNA",62,51,657,NA
"64",2009,8,14,"DTW","TYS",103,106,443,NA
"65",2009,8,10,"ATL","ROA",-3,-9,357,NA
"66",2009,8,14,"EWR","CLT",-9,22,529,NA
"67",2009,8,7,"SFO","ATL",1,6,2139,NA
"68",2009,8,5,"PVD","DTW",43,35,614,NA
"69",2009,8,20,"DFW","MCI",-1,7,460,NA
"70",2009,8,11,"DFW","SHV",10,0,190,NA
"71",2009,8,4,"RDU","CLT",NA,NA,130,NA
"72",2009,8,11,"MCO","EWR",-3,-36,938,NA
"73",2009,8,25,"SNA","DEN",1,-21,846,NA
"74",2009,8,17,"GSP","ATL",-3,41,153,NA
"75",2009,8,22,"DTW","MDT",-5,-12,370,NA
"76",2009,8,2,"PDX","LGB",-4,7,846,NA
"77",2009,8,13,"SAN","LAX",-7,-11,109,NA
"78",2009,8,22,"RNO","LAX",6,3,390,NA
"79",2009,8,8,"ORD","ATL",-5,0,606,NA
"80",2009,8,14,"ATL","TPA",21,34,406,NA
"81",2009,8,22,"BOI","ORD",-7,-25,1437,NA
"82",2009,8,2,"BOS","TPA",102,113,1185,NA
"83",2009,8,26,"DAL","MSY",0,-2,437,NA
"84",2009,8,5,"SEA","SLC",-8,NA,689,NA
"85",2009,8,4,"GSO","CVG",-10,-15,330,NA
"86",2009,8,18,"ATL","DEN",49,35,1199,NA
"87",2009,8,21,"DTW","LAX",8,-16,1979,NA
"88",2009,8,20,"VPS","ATL",-9,-5,250,NA
"89",2009,8,3,"LGA","MIA",-2,15,1097,NA
"90",2009,8,3,"IAH","EWR",1,2,1400,NA
"91",2009,8,30,"IAD","BOS",-8,-13,413,NA
"92",2009,8,24,"BOS","LGA",-6,-24,185,NA
"93",2009,8,13,"LIH","LAX",-1,-27,2615,NA
"94",2009,8,30,"LBB","DAL",-2,-12,293,NA
"95",2009,8,6,"BOS","ORD",-3,-6,867,NA
"96",2009,8,18,"MHT","EWR",-4,-11,209,NA
"97",2009,8,12,"OKC","IAH",-6,-17,395,NA
"98",2009,8,27,"SNA","DEN",4,-9,846,NA
