"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,7,21,"MKE","PIT",-6,6,431,NA
"2",2009,7,2,"SGF","ATL",17,12,563,NA
"3",2009,7,19,"SLC","PIH",-5,-6,150,NA
"4",2009,7,12,"SFO","OGG",25,15,2338,NA
"5",2009,7,21,"ATL","RDU",-1,-2,356,NA
"6",2009,7,17,"ATL","SLC",22,19,1589,NA
"7",2009,7,21,"BUF","JFK",63,72,301,NA
"8",2009,7,27,"MSP","FSD",0,1,197,NA
"9",2009,7,21,"PHX","FLG",-10,-10,119,NA
"10",2009,7,29,"DFW","SLC",31,21,988,NA
"11",2009,7,24,"RSW","MCO",6,1,133,NA
"12",2009,7,9,"BOS","RDU",33,24,612,NA
"13",2009,7,12,"MSP","GRR",-7,-15,408,NA
"14",2009,7,12,"SFO","SEA",-7,-3,679,NA
"15",2009,7,10,"PHL","ATL",3,-17,665,NA
"16",2009,7,29,"PHX","SLC",0,-9,507,NA
"17",2009,7,23,"LAS","SAN",6,1,258,NA
"18",2009,7,28,"DTW","PBI",9,7,1087,NA
"19",2009,7,6,"ANC","SLC",-10,-6,2125,NA
"20",2009,7,2,"BWI","BDL",2,-2,283,NA
"21",2009,7,10,"LGB","JFK",2,-18,2465,NA
"22",2009,7,24,"DFW","EWR",14,-1,1372,NA
"23",2009,7,19,"JFK","BUF",0,-37,301,NA
"24",2009,7,21,"SHV","DFW",1,-4,190,NA
"25",2009,7,3,"SLC","FCA",-3,-6,532,NA
"26",2009,7,5,"HNL","LIH",-5,-7,102,NA
"27",2009,7,24,"JFK","TPA",9,20,1005,NA
"28",2009,7,8,"EWR","MCO",0,6,938,NA
"29",2009,7,14,"ATL","SAV",-3,-3,215,NA
"30",2009,7,31,"SBA","DEN",6,-5,916,NA
"31",2009,7,31,"IAD","CLT",3,8,321,NA
"32",2009,7,21,"ORD","MIA",-2,-7,1197,NA
"33",2009,7,23,"SMF","SFO",-7,-7,86,NA
"34",2009,7,29,"CLE","LGA",404,416,418,NA
"35",2009,7,17,"MLU","DFW",166,166,293,NA
"36",2009,7,31,"JFK","SLC",29,6,1989,NA
"37",2009,7,8,"BOS","STL",70,61,1046,NA
"38",2009,7,10,"MSP","MDW",-7,-14,349,NA
"39",2009,7,15,"MDW","ORF",5,-5,704,NA
"40",2009,7,20,"IAD","LGB",-8,12,2277,NA
"41",2009,7,3,"TPA","SLC",2,-6,1887,NA
"42",2009,7,23,"DEN","OKC",0,-1,495,NA
"43",2009,7,6,"DTW","DEN",-5,-7,1123,NA
"44",2009,7,20,"MHT","MDW",3,-6,838,NA
"45",2009,7,25,"SEA","ANC",6,8,1449,NA
"46",2009,7,23,"CLE","DEN",-4,26,1201,NA
"47",2009,7,17,"JFK","LAX",-2,59,2475,NA
"48",2009,7,9,"BOS","PHL",80,114,280,NA
"49",2009,7,4,"DEN","ABQ",-2,-6,349,NA
"50",2009,7,23,"LAS","DEN",121,107,629,NA
"51",2009,7,9,"TPA","JFK",9,24,1005,NA
"52",2009,7,14,"PHL","BWI",-6,3,90,NA
