"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,12,18,"CVG","ORD",20,12,264,NA
"2",2009,12,3,"ATL","MSP",-3,-7,906,NA
"3",2009,12,31,"CVG","SLC",-6,-20,1449,NA
"4",2009,12,19,"MCO","RIC",NA,NA,667,NA
"5",2009,12,4,"LAS","CMH",37,26,1772,NA
"6",2009,12,19,"PHL","MCO",6,45,861,NA
"7",2009,12,24,"MOB","ATL",-4,-15,302,NA
"8",2009,12,19,"ATL","AVL",NA,NA,164,NA
"9",2009,12,30,"ABE","DTW",-4,-11,424,NA
"10",2009,12,22,"HRL","IAH",-4,-9,295,NA
"11",2009,12,12,"DTW","IAH",-8,41,1076,NA
"12",2009,12,12,"CVG","DTW",0,-18,229,NA
"13",2009,12,15,"BOS","MDW",-3,-18,861,NA
"14",2009,12,18,"DEN","PHL",NA,NA,1557,NA
"15",2009,12,20,"DTW","DEN",-3,-30,1123,NA
"16",2009,12,5,"SLC","DCA",-1,-21,1851,NA
"17",2009,12,30,"MEM","ATL",8,2,332,NA
"18",2009,12,13,"DEN","LAS",4,1,629,NA
"19",2009,12,16,"ORD","PIT",-5,-19,412,NA
"20",2009,12,14,"DEN","LAS",-1,-4,629,NA
"21",2009,12,30,"IAH","MEM",-5,-9,469,NA
"22",2009,12,18,"BDL","ORD",-3,-2,783,NA
"23",2009,12,21,"FAT","LAX",-4,-11,209,NA
"24",2009,12,24,"MIA","SDF",0,-3,911,NA
"25",2009,12,18,"MSP","SEA",19,-1,1399,NA
"26",2009,12,29,"DEN","IAH",4,-3,862,NA
"27",2009,12,6,"TPA","MDW",-1,-18,997,NA
"28",2009,12,19,"EWR","SLC",-3,-43,1968,NA
"29",2009,12,17,"CLT","CLE",-4,-21,430,NA
"30",2009,12,14,"ATL","CAE",35,34,191,NA
"31",2009,12,3,"DFW","SLC",-3,-8,988,NA
"32",2009,12,30,"FLL","TPA",-8,-3,197,NA
"33",2009,12,22,"SMF","ONT",-1,-8,390,NA
"34",2009,12,1,"LBB","DAL",-4,-4,293,NA
"35",2009,12,4,"RIC","ATL",10,22,481,NA
"36",2009,12,1,"PHL","IAH",1,29,1324,NA
"37",2009,12,11,"ROC","JFK",-5,-8,264,NA
"38",2009,12,29,"CRP","HOU",0,-10,187,NA
"39",2009,12,25,"DFW","PHL",36,18,1302,NA
"40",2009,12,11,"DFW","SJU",2,-5,2165,NA
"41",2009,12,23,"MCO","CLT",-8,-10,468,NA
"42",2009,12,14,"SFO","BFL",-6,-17,238,NA
"43",2009,12,24,"JFK","PHX",7,-13,2153,NA
"44",2009,12,30,"PHX","LAX",18,15,370,NA
"45",2009,12,31,"MCI","OAK",1,-21,1489,NA
"46",2009,12,28,"IAH","IND",-1,3,845,NA
"47",2009,12,20,"SFO","CIC",-9,-3,153,NA
"48",2009,12,6,"JFK","CLE",45,7,425,NA
"49",2009,12,8,"JAX","IAH",-3,7,817,NA
"50",2009,12,1,"MAF","DAL",-3,-2,319,NA
"51",2009,12,27,"HOU","DAL",5,-1,239,NA
"52",2009,12,28,"SEA","JFK",-4,-5,2421,NA
"53",2009,12,1,"DFW","LAX",9,-15,1235,NA
"54",2009,12,24,"IAH","ORD",80,52,925,NA
"55",2009,12,17,"LGA","MSP",58,59,1020,NA
"56",2009,12,25,"ATL","PWM",20,11,1027,NA
"57",2009,12,12,"ATL","DTW",18,8,594,NA
"58",2009,12,11,"SMF","BUR",2,-2,358,NA
"59",2009,12,21,"ORD","IND",8,-13,177,NA
"60",2009,12,11,"CLT","DEN",106,89,1338,NA
"61",2009,12,26,"DFW","OMA",-1,-4,583,NA
"62",2009,12,6,"BQN","JFK",0,-12,1576,NA
"63",2009,12,1,"DCA","DFW",-1,-5,1192,NA
"64",2009,12,22,"DEN","CID",38,31,693,NA
"65",2009,12,23,"DTW","EVV",-2,-12,364,NA
"66",2009,12,14,"BUR","LAS",-1,-9,223,NA
"67",2009,12,30,"MIA","ATL",24,15,595,NA
"68",2009,12,4,"ORD","LGA",-2,-22,733,NA
"69",2009,12,10,"LRD","IAH",-5,-17,301,NA
"70",2009,12,6,"LAX","LAS",-4,-18,236,NA
"71",2009,12,27,"MDW","BOS",7,1,861,NA
"72",2009,12,5,"SFO","LAS",-5,-25,414,NA
"73",2009,12,23,"CLT","LAS",3,-34,1916,NA
"74",2009,12,30,"PDX","IAH",13,-1,1825,NA
"75",2009,12,2,"MCI","LAX",17,-11,1363,NA
"76",2009,12,30,"MEM","ORD",0,1,491,NA
"77",2009,12,6,"ATL","TPA",6,3,406,NA
"78",2009,12,29,"SMF","SAN",12,1,480,NA
"79",2009,12,1,"AUS","DEN",21,8,775,NA
"80",2009,12,26,"MDW","LAX",19,36,1751,NA
"81",2009,12,8,"IAH","LAX",52,64,1379,NA
"82",2009,12,3,"CMH","TPA",7,41,829,NA
"83",2009,12,4,"SLC","PDX",-1,NA,630,NA
"84",2009,12,7,"CLT","CLE",-4,0,430,NA
"85",2009,12,22,"ORD","LIT",204,200,552,NA
"86",2009,12,17,"BTV","JFK",0,6,267,NA
"87",2009,12,8,"BNA","LAX",-5,21,1797,NA
"88",2009,12,7,"PIT","EWR",-5,-40,319,NA
"89",2009,12,27,"DSM","DEN",2,19,590,NA
"90",2009,12,9,"ORD","STL",20,11,258,NA
"91",2009,12,3,"MEM","MFE",-1,-2,784,NA
"92",2009,12,31,"ORD","BWI",-4,-21,622,NA
"93",2009,12,21,"ORD","ICT",-2,-22,588,NA
"94",2009,12,28,"SLC","IDA",-3,19,188,NA
"95",2009,12,23,"PHX","SAN",-6,-12,304,NA
"96",2009,12,13,"LAX","SEA",0,-3,954,NA
"97",2009,12,29,"BWI","RDU",2,-9,255,NA
"98",2009,12,23,"LGA","FLL",-2,38,1076,NA
"99",2009,12,29,"MCI","MEM",-4,-10,392,NA
"100",2009,12,20,"EWR","SFO",92,132,2565,NA
"101",2009,12,28,"DFW","MLI",25,30,691,NA
"102",2009,12,22,"DTW","MBS",-3,-18,98,NA
"103",2009,12,3,"RDU","DCA",-7,-9,227,NA
"104",2009,12,12,"TPA","ORF",-3,-15,717,NA
"105",2009,12,8,"TUL","DAL",27,24,237,NA
"106",2009,12,17,"DTW","BUF",-2,-5,240,NA
"107",2009,12,10,"DTW","TVC",NA,NA,207,NA
"108",2009,12,18,"PHX","AUS",-3,12,872,NA
"109",2009,12,11,"ORD","SDF",43,35,286,NA
"110",2009,12,2,"LAX","IAD",-3,6,2288,NA
"111",2009,12,14,"JAX","CLT",-4,-19,329,NA
"112",2009,12,23,"SAN","LAS",7,0,258,NA
"113",2009,12,17,"BDL","EWR",36,19,115,NA
"114",2009,12,16,"JAN","IAH",27,26,351,NA
"115",2009,12,8,"ORD","SEA",0,-33,1721,NA
"116",2009,12,28,"MBS","ORD",-3,2,222,NA
"117",2009,12,16,"DFW","AMA",-4,-7,313,NA
"118",2009,12,28,"CVG","RSW",-1,1,879,NA
"119",2009,12,23,"CMH","BNA",1,-12,338,NA
"120",2009,12,23,"GRK","DFW",-5,-2,134,NA
"121",2009,12,25,"DEN","DTW",33,50,1123,NA
"122",2009,12,17,"PIT","JFK",-5,-48,340,NA
"123",2009,12,23,"LAS","HNL",-1,-1,2762,NA
"124",2009,12,13,"ATL","PHL",NA,NA,665,NA
