"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,4,18,"MDW","DEN",-3,11,895,NA
"2",2009,4,17,"DTW","EWR",184,153,487,NA
"3",2009,4,22,"SNA","LAS",-8,-9,226,NA
"4",2009,4,25,"GPT","IAH",-11,-15,376,NA
"5",2009,4,6,"CVG","MSP",0,-7,596,NA
"6",2009,4,29,"HOU","ATL",-1,-9,696,NA
"7",2009,4,14,"IAH","ATL",0,25,689,NA
"8",2009,4,24,"SFO","BFL",35,60,238,NA
"9",2009,4,26,"DEN","IAH",5,7,862,NA
"10",2009,4,19,"SAT","ATL",-8,-13,874,NA
"11",2009,4,29,"SEA","DEN",6,-3,1024,NA
"12",2009,4,29,"LGA","ATL",-9,-11,761,NA
"13",2009,4,12,"ORD","DSM",0,-8,299,NA
"14",2009,4,3,"HOU","ATL",64,50,696,NA
"15",2009,4,30,"BOS","LGA",-2,-18,185,NA
"16",2009,4,25,"RIC","MCO",-7,-5,667,NA
"17",2009,4,10,"GNV","ATL",20,25,300,NA
"18",2009,4,15,"LAS","PHX",64,59,256,NA
"19",2009,4,27,"LGA","BOS",-7,19,185,NA
"20",2009,4,10,"PWM","JFK",-10,-17,274,NA
"21",2009,4,7,"SEA","SJC",-5,-5,696,NA
"22",2009,4,24,"ONT","PHX",4,-3,325,NA
"23",2009,4,12,"PHX","LAX",-3,-16,370,NA
"24",2009,4,1,"SEA","LAS",-3,2,866,NA
"25",2009,4,23,"PHL","MIA",-4,3,1013,NA
"26",2009,4,30,"OAK","PDX",0,-10,543,NA
"27",2009,4,30,"LAS","PHX",9,-1,256,NA
"28",2009,4,8,"JFK","BOS",-2,-1,187,NA
"29",2009,4,13,"TXK","DFW",7,5,181,NA
"30",2009,4,15,"DEN","COS",-1,-9,73,NA
"31",2009,4,8,"IND","JFK",-10,-11,664,NA
"32",2009,4,26,"BGR","JFK",-5,-15,382,NA
"33",2009,4,3,"SDF","DTW",-1,-1,306,NA
"34",2009,4,27,"DFW","ORD",7,27,802,NA
"35",2009,4,1,"CHS","ATL",-2,-6,259,NA
"36",2009,4,19,"BNA","EWR",-1,-16,748,NA
"37",2009,4,15,"DFW","CLE",0,5,1021,NA
"38",2009,4,14,"ORD","DFW",-5,-31,802,NA
"39",2009,4,12,"CVG","BOS",-3,-2,752,NA
"40",2009,4,10,"ATL","OMA",38,12,821,NA
"41",2009,4,21,"PHL","PIT",82,72,267,NA
"42",2009,4,24,"GRB","ORD",-10,-11,174,NA
"43",2009,4,5,"ORF","MDW",5,5,704,NA
"44",2009,4,17,"DEN","PHX",1,-16,602,NA
"45",2009,4,7,"ORD","BOS",-10,-25,867,NA
"46",2009,4,12,"PDX","SFO",-4,-6,550,NA
"47",2009,4,11,"LGA","ATL",-7,-33,761,NA
"48",2009,4,13,"IAH","DAL",-2,4,217,NA
"49",2009,4,16,"SLC","DEN",2,24,390,NA
"50",2009,4,18,"LGA","ATL",-1,-35,761,NA
"51",2009,4,22,"SJC","SNA",-6,3,342,NA
"52",2009,4,14,"CLE","MCI",-4,-14,694,NA
"53",2009,4,3,"CLT","MSP",-2,-19,930,NA
"54",2009,4,13,"DSM","ATL",175,163,743,NA
"55",2009,4,7,"ATL","MYR",31,25,317,NA
