"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,9,14,"FSM","DFW",-3,-1,228,NA
"2",2009,9,19,"DFW","COS",-5,-7,592,NA
"3",2009,9,20,"LAX","ORD",-4,-3,1745,NA
"4",2009,9,27,"HLN","SLC",-8,-9,402,NA
"5",2009,9,11,"PHX","MRY",-6,-13,598,NA
"6",2009,9,29,"MEM","MIA",-6,-13,860,NA
"7",2009,9,2,"TUL","MSP",-2,-7,616,NA
"8",2009,9,9,"SRQ","JFK",-6,16,1041,NA
"9",2009,9,24,"ATL","EWR",-5,8,745,NA
"10",2009,9,18,"IAH","CLT",-5,-6,913,NA
"11",2009,9,12,"SMF","SAN",0,-12,480,NA
"12",2009,9,18,"PHX","MCI",-10,-5,1044,NA
"13",2009,9,26,"PHX","ORD",-3,7,1440,NA
"14",2009,9,27,"ORD","DEN",-2,-2,888,NA
"15",2009,9,28,"DTW","MSP",29,26,528,NA
"16",2009,9,19,"SEA","SFO",1,-4,679,NA
"17",2009,9,10,"SLC","JFK",-2,4,1989,NA
"18",2009,9,23,"LIT","IAH",-3,-2,374,NA
"19",2009,9,25,"LAX","ATL",7,0,1946,NA
"20",2009,9,21,"PWM","IAD",-13,-23,494,NA
"21",2009,9,22,"ORD","CLE",3,3,316,NA
"22",2009,9,23,"KOA","HNL",-8,-11,163,NA
"23",2009,9,2,"EWR","LIT",-5,-17,1069,NA
"24",2009,9,25,"OAK","LGB",-5,1,353,NA
"25",2009,9,10,"LGA","CMH",10,22,478,NA
"26",2009,9,9,"SEA","JNU",4,-21,909,NA
"27",2009,9,3,"MLU","DFW",-4,-4,293,NA
"28",2009,9,29,"HNL","LIH",-3,-8,102,NA
"29",2009,9,29,"BOS","DFW",-5,-13,1562,NA
"30",2009,9,15,"ATL","RSW",0,-6,515,NA
"31",2009,9,22,"IAD","DEN",-6,-9,1452,NA
"32",2009,9,8,"CLE","DEN",14,6,1201,NA
"33",2009,9,21,"PSP","LAX",-10,-17,110,NA
"34",2009,9,13,"SFO","EUG",8,-3,451,NA
"35",2009,9,29,"DTW","SNA",-2,1,1960,NA
"36",2009,9,17,"DTW","PHL",-3,2,453,NA
"37",2009,9,16,"SEA","ONT",-5,-9,956,NA
"38",2009,9,7,"PHX","SNA",3,5,338,NA
"39",2009,9,10,"FLL","DTW",-8,14,1127,NA
"40",2009,9,23,"DEN","AUS",-8,6,775,NA
"41",2009,9,20,"HNL","OGG",-4,-4,100,NA
"42",2009,9,29,"PHX","LAS",0,4,256,NA
"43",2009,9,20,"DFW","MEM",149,141,432,NA
"44",2009,9,29,"STL","MCI",-6,-16,237,NA
"45",2009,9,28,"SEA","GEG",-8,-3,224,NA
"46",2009,9,8,"CLT","ATL",-5,13,227,NA
"47",2009,9,28,"ATL","MCO",-4,-13,403,NA
"48",2009,9,28,"ORD","IAD",-1,-2,589,NA
"49",2009,9,26,"DEN","COS",-1,-10,73,NA
"50",2009,9,6,"ISP","BWI",-8,-13,220,NA
"51",2009,9,9,"IAH","MIA",7,32,964,NA
"52",2009,9,8,"XNA","IAH",-10,-8,438,NA
"53",2009,9,3,"ABQ","ATL",-1,-14,1269,NA
"54",2009,9,16,"PHX","SEA",-5,-14,1107,NA
"55",2009,9,6,"BWI","BOS",6,-9,370,NA
"56",2009,9,14,"GRR","IAH",-11,-1,1042,NA
"57",2009,9,24,"LGA","MSP",-8,-27,1020,NA
"58",2009,9,14,"EUG","SLC",-5,8,619,NA
"59",2009,9,25,"HOU","LAS",35,18,1235,NA
"60",2009,9,11,"LSE","ORD",-4,-11,215,NA
"61",2009,9,23,"STL","PHX",6,-12,1262,NA
"62",2009,9,8,"OKC","DFW",-5,-8,175,NA
"63",2009,9,27,"ORD","BWI",78,83,622,NA
"64",2009,9,23,"OGG","KOA",-5,-3,84,NA
"65",2009,9,8,"MSP","OMA",-5,-2,282,NA
"66",2009,9,4,"PIT","ORD",-6,-12,412,NA
"67",2009,9,7,"ABQ","DEN",-1,-6,349,NA
"68",2009,9,24,"DCA","ORD",-7,-13,612,NA
"69",2009,9,24,"DSM","ORD",-8,-13,299,NA
"70",2009,9,18,"OGG","HNL",-3,-7,100,NA
"71",2009,9,8,"CLT","SAN",-2,13,2077,NA
"72",2009,9,12,"CLT","EWR",-8,-14,529,NA
"73",2009,9,26,"LGA","DFW",-5,-5,1389,NA
"74",2009,9,13,"AUS","DEN",-5,-29,775,NA
"75",2009,9,11,"PHL","TPA",99,91,920,NA
"76",2009,9,6,"LBB","AUS",-4,-11,341,NA
"77",2009,9,11,"DEN","TUL",3,2,541,NA
"78",2009,9,2,"DEN","LAX",2,4,862,NA
"79",2009,9,27,"ELP","DEN",3,6,563,NA
"80",2009,9,8,"DEN","ATL",-10,6,1199,NA
"81",2009,9,18,"SFO","SEA",36,8,679,NA
"82",2009,9,27,"LGA","ATL",-1,-13,761,NA
"83",2009,9,25,"BWI","TPA",64,62,842,NA
"84",2009,9,10,"DFW","OGG",-4,-30,3711,NA
"85",2009,9,25,"JFK","LAX",4,-43,2475,NA
"86",2009,9,11,"SJC","BUR",-1,-2,297,NA
"87",2009,9,4,"ATL","IAD",14,8,533,NA
"88",2009,9,15,"CID","DFW",-10,-7,685,NA
"89",2009,9,28,"ATL","CHS",0,-6,259,NA
"90",2009,9,10,"BOS","SFO",33,-10,2704,NA
"91",2009,9,2,"CMH","DTW",-4,-7,155,NA
"92",2009,9,1,"DCA","LGA",-7,14,214,NA
"93",2009,9,16,"EWR","XNA",3,0,1130,NA
"94",2009,9,28,"JFK","SFO",-2,-5,2586,NA
"95",2009,9,28,"SPI","ORD",-9,-23,174,NA
"96",2009,9,22,"DAY","ATL",9,21,432,NA
"97",2009,9,28,"BNA","SAT",-1,-7,822,NA
"98",2009,9,19,"RIC","BOS",-10,-18,474,NA
"99",2009,9,23,"PIH","SLC",-10,-5,150,NA
"100",2009,9,4,"BNA","DTW",1,4,457,NA
"101",2009,9,4,"PSP","SFO",18,12,421,NA
"102",2009,9,27,"BOS","IAD",62,55,413,NA
"103",2009,9,18,"IND","ATL",19,17,432,NA
"104",2009,9,20,"CVG","LAX",0,-6,1900,NA
"105",2009,9,27,"PHL","ATL",-6,22,665,NA
"106",2009,9,5,"HPN","MCO",-8,-12,972,NA
"107",2009,9,11,"CLT","ATL",-5,-4,227,NA
"108",2009,9,27,"PWM","DTW",0,22,668,NA
"109",2009,9,8,"SAN","STL",-5,-8,1558,NA
"110",2009,9,23,"ORD","TUL",-7,-1,585,NA
"111",2009,9,15,"CLE","ALB",-5,-4,424,NA
"112",2009,9,13,"SFO","SAN",91,80,447,NA
"113",2009,9,23,"SJC","SNA",-3,NA,342,NA
"114",2009,9,1,"BUR","PHX",6,0,369,NA
"115",2009,9,16,"SYR","CLE",-15,-20,317,NA
"116",2009,9,3,"BNA","CLT",-9,-25,329,NA
"117",2009,9,16,"IAH","BHM",-1,0,562,NA
"118",2009,9,12,"JFK","MSP",-4,-6,1028,NA
"119",2009,9,28,"BOS","ATL",-2,7,946,NA
"120",2009,9,28,"MDW","MSP",40,40,349,NA
"121",2009,9,26,"MSP","LNK",-5,-17,331,NA
"122",2009,9,26,"PDX","OGG",-4,-39,2562,NA
"123",2009,9,16,"SAN","OAK",-4,-11,446,NA
"124",2009,9,25,"ORD","CMH",78,64,296,NA
"125",2009,9,15,"SEA","DEN",4,12,1024,NA
"126",2009,9,14,"JFK","MIA",-11,-28,1090,NA
"127",2009,9,15,"MGM","DFW",3,-10,622,NA
"128",2009,9,21,"VPS","ATL",9,7,250,NA
"129",2009,9,20,"STL","ORD",-5,-17,258,NA
"130",2009,9,24,"PHL","ATL",-2,-4,665,NA
"131",2009,9,26,"ATL","SAV",-6,-3,215,NA
"132",2009,9,6,"SAN","LAS",1,-1,258,NA
"133",2009,9,27,"PVD","PHL",-10,-22,238,NA
"134",2009,9,13,"DTW","DAY",-5,-6,166,NA
"135",2009,9,12,"SLC","LGB",-4,-8,589,NA
"136",2009,9,18,"JFK","BOS",-2,-17,187,NA
"137",2009,9,20,"ATL","HSV",125,134,151,NA
"138",2009,9,22,"AEX","ATL",NA,NA,500,NA
"139",2009,9,4,"BUF","BWI",-1,-3,281,NA
"140",2009,9,21,"SEA","DTW",-5,12,1927,NA
"141",2009,9,7,"ATL","MCI",-1,-16,692,NA
"142",2009,9,27,"LGA","ORD",0,-28,733,NA
"143",2009,9,13,"MDW","BDL",-1,-8,777,NA
"144",2009,9,12,"MKE","PHL",0,14,690,NA
"145",2009,9,28,"LAS","PHL",-4,-17,2176,NA
"146",2009,9,27,"MIA","TPA",48,45,204,NA
"147",2009,9,21,"LAS","TUL",11,NA,1076,NA
"148",2009,9,24,"LGA","ORD",4,-22,733,NA
"149",2009,9,16,"LAS","LAX",13,9,236,NA
"150",2009,9,20,"PHL","ATL",9,18,665,NA
"151",2009,9,21,"CLT","LAX",-8,-13,2125,NA
"152",2009,9,5,"PDX","ANC",12,6,1542,NA
"153",2009,9,25,"LAS","HOU",19,4,1235,NA
"154",2009,9,30,"CID","DFW",-4,-18,685,NA
"155",2009,9,15,"DEN","OMA",9,16,472,NA
"156",2009,9,23,"SAN","SEA",-14,-33,1050,NA
"157",2009,9,16,"ELP","SAT",-5,-4,496,NA
